sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,props_gpt,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Aspect,"['simple', 'perfect']",['perfect'],"['simple', 'perfect']",,"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about the Cardinal's exposition and does not reference any specific completion, ongoing, habitual, or end of an action.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about the act of reading the Cardinal's exposition in different languages.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact without indicating whether the action is completed, ongoing, habitual, or incomplete.""
}",['simple'],1
73,[0],"Meanwhile, according to a Breitbart report by Allum Bokhari, “By inserting negative search suggestions under the name of a candidate, search engines like Google can shift the opinions of undecided voters by up to 43.4 percent, according to new research by a team at the American Institute for Behavioral Research and Technology and reported exclusively by Breitbart News.”",Aspect,['simple'],['simple'],['simple'],,"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The text presents a simple factual statement about the research findings without indicating completion, ongoing nature, or progression of the action.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about the research findings without indicating completion, ongoingness, or progress of the action.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about the research findings without indicating completion, ongoingness, or progressiveness of the action.""
}",['simple'],1
80,[1],"Also, as this is an unprecedented moment in papal history, perhaps the unprecedented step of recalling Benedict XVI to the Chair of St. Peter should also be considered sooner rather than later, before this crisis gets any more out-of-control than it already is.",Aspect,['simple'],['simple'],['simple'],,"{
  ""Properties"": [""simple"", ""progressive""],
  ""Explanation"": ""The example uses the simple aspect to express a simple fact ('this is an unprecedented moment in papal history') and the progressive aspect to express an ongoing or incomplete action ('this crisis gets any more out-of-control than it already is').""
}","['simple', 'progressive']","{
  ""Properties"": [""simple""],
  ""Explanation"": ""The statement expresses a simple fact about a potential future action without indicating any aspect of completion, ongoingness, or duration.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The text expresses a simple fact about the possibility of recalling Benedict XVI to the Chair of St. Peter. No specific aspect of the action is emphasized, making it a simple statement.""
}",['simple'],0
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Aspect,['simple'],['simple'],['simple'],,"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact, stating the occurrence of a future event without any indication of completion or ongoing action.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about a future event without indicating any ongoing or completed action.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about a future event using the simple aspect.""
}",['simple'],1
117,[ 1 12],"And so Chris Bryant, “a senior Labour backbencher, has written to May urging her to go further, and issue an official ban on Donald Trump from entering the UK on the grounds he is condoning fascism and his presence is ‘not conducive to the public good’, a senior Labour MP has said.”",Aspect,"['progressive', 'simple', 'perfect']",['perfect'],['perfect'],,"{
  ""Properties"": [""perfect"", ""progressive""],
  ""Explanation"": ""The use of 'has written' indicates a completed action (perfect aspect), while 'is urging' indicates an ongoing or habitual action (progressive aspect).""
}","['perfect', 'progressive']","{
  ""Properties"": [""perfect""],
  ""Explanation"": ""The use of 'has written' indicates a completed action, suggesting the letter has been completed by Chris Bryant.""
}",['perfect'],"{
  ""Properties"": [
    ""perfect""
  ],
  ""Explanation"": ""The use of 'has written' indicates a completed action, suggesting the letter has been written but it does not specify whether it has been sent or received.""
}",['perfect'],0
118,[1],"In any case, note well: the letter to me from the UK Home Office said that I was banned for saying that “[Islam] is a religion and is a belief system that mandates warfare against unbelievers…”",Aspect,['simple'],['simple'],['simple'],,"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The text expresses a simple fact without any indication of completion, ongoing nature, or perfect aspect.""
}",['simple'],"{
  ""Properties"": [""simple"", ""progressive""],
  ""Explanation"": ""The text contains simple aspect as it expresses a simple fact, and progressive aspect as it indicates an ongoing or habitual action.""
}","['simple', 'progressive']","{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact without specifying the completion of the action or ongoing nature of the action.""
}",['simple'],0
127,[1],"I have seen a veritable chorus of Catholics on social media declaring that if Paul VI is canonised, their loss of faith in the Church as an institution will be complete.",Aspect,['perfect'],['perfect'],,,"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact or statement without indicating any ongoing or completed action.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The text expresses a simple fact without indicating completion, ongoingness, or habitualness of the action.""
}",['simple'],"{
  ""Properties"": [""simple"", ""perfect""],
  ""Explanation"": ""The sentence expresses a simple fact (Catholics declaring their loss of faith) and refers to a completed action (loss of faith if Paul VI is canonised).""
}","['simple', 'perfect']",0
143,[9 1 8],"Sagacious gun owners have always known that the ultimate goal of gun control extremists such as Chuck Schumer, Nancy Pelosi, Dianne Feinstein, et al., has always been gun confiscation.",Aspect,['perfect_progressive'],['perfect'],['perfect'],,"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about the beliefs of gun owners without indicating any specific timeframe or completion of an action.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about the belief of gun owners regarding the ultimate goal of gun control extremists.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact without indicating any completion or ongoing action.""
}",['simple'],1
159,[1],This is a very real threat – one that is largely immune to attack from the air.,Aspect,['simple'],['simple'],['simple'],,"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about the threat being largely immune to attack from the air.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about the nature of the threat, without any indication of completion, ongoing action, or habitual action.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about the threat being largely immune to attack from the air.""
}",['simple'],1
188,[1],They would be immediate targets should the US and South Korea attack the north.,Aspect,['simple'],['simple'],['simple'],,"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about the potential consequences of a US and South Korea attack on the north.""
}",['simple'],"{
  ""Properties"": [
    ""simple""
  ],
  ""Explanation"": ""The sentence expresses a simple fact about a potential future event.""
}",['simple'],"{
  ""Properties"": [
    ""simple""
  ],
  ""Explanation"": ""The sentence expresses a simple fact about a hypothetical situation.""
}",['simple'],1
194,[9 1],"Think of this, the meekest man alive was sent to the face of the Pharaoh to tell him to obey or else.",Aspect,['simple'],['simple'],['simple'],,"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about the action of the meekest man being sent to the Pharaoh.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact without indicating the completion or progression of the action.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about the action of the meek man being sent to the Pharaoh. There is no indication of the action being ongoing, completed, or in progress, so simple aspect is used here.""
}",['simple'],1
199,[1],"“When Kavanaugh is on the Supreme Court, undermining our #4thAmendment right against unreasonable searches and seizures, it will be too late for others to join me.”",Aspect,['simple'],"['progressive', 'simple']",['progressive'],,"{
  ""Properties"": [
    ""simple"",
    ""progressive""
  ],
  ""Explanation"": ""The sentence 'When Kavanaugh is on the Supreme Court' expresses a future ongoing action, so it contains the progressive aspect. The overall structure of the sentence also conveys a simple fact, so it contains the simple aspect as well.""
}","['simple', 'progressive']","{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'is' before 'on the Supreme Court' indicates an ongoing or future action, suggesting the progressive aspect.""
}",['progressive'],"{
  ""Properties"": [
    ""progressive""
  ],
  ""Explanation"": ""The use of the progressive aspect 'is' indicates an ongoing or incomplete action, in this case, the potential future action of Kavanaugh being on the Supreme Court and undermining the 4th Amendment right.""
}",['progressive'],0
202,[1],"A gird failure would almost immediately fling the United States into a state of panic, and it’s always good to be prepared just in case.",Aspect,['simple'],['simple'],['simple'],,"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about a hypothetical situation, without indicating completion, progress, or ongoing habit.""
}",['simple'],"{
    ""Properties"": [""simple""],
    ""Explanation"": ""The sentence expresses a simple fact about a potential consequence of a grid failure.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about a hypothetical situation.""
}",['simple'],1
204,[1],"It has become a superdogma in the Catholic Church: if you don’t believe that Islam is a Religion of Peace, you will be ruthlessly harassed and silenced by the U.S. Conference of Catholic Bishops and the hierarchy elsewhere as well.",Aspect,"['simple', 'perfect']","['simple', 'perfect']",['perfect'],,"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact without indicating completion, ongoingness, or habitual action.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact or statement about a belief in the form of 'It has become a superdogma in the Catholic Church.'""
}",['simple'],1
214,[1],"""One woman (was) screaming through my door that I should be killed and I should die,"" he told reporters at Friday's news conference.",Aspect,['simple'],"['progressive', 'simple']","['progressive', 'simple']",,"{
  ""Properties"": [
    ""simple""
  ],
  ""Explanation"": ""The sentence expresses a simple fact about a past event without emphasizing completion or ongoing nature.""
}",['simple'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'screaming' indicates an ongoing or incomplete action, which aligns with the progressive aspect.""
}",['progressive'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'was' in 'was screaming' indicates the progressive aspect, expressing an ongoing or incomplete action.""
}",['progressive'],0
219,[1],"While Iran told the U.N. nuclear watchdog agency on Tuesday that it plans only to increase enrichment within limits set by 2015 deal, the announcement came with threats from a top Iranian official that the activities could be quickly expanded.",Aspect,['simple'],['simple'],['simple'],['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The example uses the simple aspect to express a simple fact without indicating completion, ongoing, or habitual action.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact or general truth, without any indication of completed or ongoing action.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about Iran's plans to increase enrichment within limits set by a deal.""
}",['simple'],1
241,[9 2],"After Farrakhan's speech Sunday, CNN anchor Jake Tapper, among a few others, began tweeting out a few quotes from it, and declared that Farrakhan was more dangerous than other ""alt-reich"" leaders because he “has a much larger following and elected officials meet with him openly.”",Aspect,['simple'],"['progressive', 'simple']",['simple'],,"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The example text expresses a simple fact about the actions of CNN anchor Jake Tapper and others tweeting quotes from Farrakhan's speech.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about what Jake Tapper did after Farrakhan's speech.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence 'After Farrakhan's speech Sunday, CNN anchor Jake Tapper, among a few others, began tweeting out a few quotes from it, and declared that Farrakhan was more dangerous than other 'alt-reich' leaders because he 'has a much larger following and elected officials meet with him openly.' expresses a simple fact without indicating a specific timeframe or completion of the action.""
}",['simple'],1
243,[2 6],Women everywhere should be furious.,Aspect,['simple'],['simple'],['simple'],,"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The statement is expressing a simple fact without indicating completion, ongoing, or habitual action.""
}",['simple'],"{
  ""Properties"": [
    ""simple""
  ],
  ""Explanation"": ""The sentence expresses a simple fact and does not indicate any specific aspect of the action.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The statement 'women everywhere should be furious' expresses a simple fact without referring to a specific time frame or aspect of the action.""
}",['simple'],1
244,[2],"Why not, one could say, since the Church is ready to bless nearly everything on the earth?",Aspect,['simple'],['simple'],['simple'],,"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact without indicating any specific aspect of the action.""
}",['simple'],"{
  ""Properties"": [],
  ""Explanation"": ""This sentence does not contain any aspects of Aspect. It simply makes a statement without indicating completion, ongoingness, or habitual action.""
}",[],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about the Church being ready to bless nearly everything on earth.""
}",['simple'],1
245,[2],"I am sure there are many many others, too, who think alike, but whom I do not know.",Aspect,['simple'],['simple'],['simple'],,"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact without indicating any specific aspect of the action.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact without indicating completion, ongoingness, or habitualness.""
}",['simple'],"{
    ""Properties"": [],
    ""Explanation"": ""The given text does not explicitly show the use of any aspect properties such as simple, perfect, progressive, or perfect progressive. The sentence simply expresses a general opinion or belief without specifying any particular action or timeline.""
}",[],1
247,[13  2],"“But it is extremely dangerous as the head of the Catholic Church — you know, the last appeal — that this is the kind of behavior that is going to be mimicked around the world by bishops, [who will say] ‘Well if the Pope is not going to intervene and impose zero tolerance, why should I?’”",Aspect,['simple'],"['progressive', 'simple']",['simple'],,"{
  ""Properties"": [""simple"", ""progressive""],
  ""Explanation"": ""The statement expresses a simple fact about the potential impact of the Pope's behavior, as well as an ongoing or habitual action of bishops mimicking this behavior in the future.""
}","['simple', 'progressive']","{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence simply expresses a fact about the potential consequences of certain behavior, without indicating completion, ongoingness, or progression of the action.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The example expresses a simple fact about the behavior of bishops mimicking the actions of the Pope.""
}",['simple'],0
249,[2],"Although the claims are intriguing, it is important to remember that after virtually every terror attack and mass shooting, friends and neighbors express shock that the culprit would be capable of carrying out such horrors, with some outright denying it to be possible.",Aspect,['simple'],"['progressive', 'simple']",['simple'],,"{
    ""Properties"": [""simple""],
    ""Explanation"": ""The sentence expresses a simple fact about how friends and neighbors react after terror attacks and mass shootings.""
}",['simple'],"{
  ""Properties"": [""simple"", ""progressive""],
  ""Explanation"": ""The statement includes a simple expression of facts ('friends and neighbors express shock') as well as a progressive expression of an ongoing or habitual action ('the culprit would be capable of carrying out such horrors').""
}","['simple', 'progressive']","{
  ""Properties"": [""simple""]
}",['simple'],0
253,[3 8],Either that or they can go whine to the New York Times some more because the Jewish community won't let them burn crosses on their lawn.,Aspect,['simple'],['simple'],['simple'],,"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The text expresses a simple fact without indicating completion, ongoingness, or duration.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact without indicating completion, ongoingness, or habitual action.""
}",['simple'],"{
  ""Properties"": [""progressive""],
  ""Explanation"": ""The use of 'they can go whine' indicates an ongoing or habitual action, fitting the definition of the progressive aspect.""
}",['progressive'],0
258,[3 7],"The American Medical Association (AMA) should seriously consider changing their names since they are about as anti-American as it comes in their new demands for gun confiscation measures, which include guns and ammunition confiscation, as well as universal gun registration.",Aspect,['simple'],"['progressive', 'simple']",['simple'],,"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact without indicating completion, ongoing action, or culmination of an action.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact or opinion about the American Medical Association's potential name change and their new demands for gun confiscation measures.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The statement describes a simple fact without any indication of a completed or ongoing action.""
}",['simple'],1
263,[3],"While Obama pardoned drug dealers and locked up ranchers, Trump pardons ranchers and locks up drug dealers.",Aspect,['simple'],['simple'],['simple'],,"{
  ""Properties"": [
    ""simple""
  ],
  ""Explanation"": ""The sentence expresses a simple fact without indicating completion, ongoingness, or habitualness of the actions.""
}",['simple'],"{
    ""Properties"": [""simple""],
    ""Explanation"": ""The given sentence expresses a simple fact without any indication of completion, ongoingness, or progression of the actions mentioned. It is a straightforward statement of contrasting actions performed by two different individuals.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact without emphasizing the completion, ongoingness, or habitual nature of the actions.""
}",['simple'],1
265,[3],"No Catholic, whether or not he consults a priest, can declare for himself that his marriage in the Church was invalid, especially when—indeed because—he lacks canonical proof of invalidity.",Aspect,['simple'],['simple'],['simple'],['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact without indicating whether the action is ongoing, completed, or habitual.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about the general inability of a Catholic to declare their own marriage as invalid.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about the ability of a Catholic to declare the invalidity of their marriage.""
}",['simple'],1
271,[3],"That is to say, one could not consecrate a brothel, one could not bless a concentration camp or weapons which are not explicitly ordained for hunting or for legitimate self-defense.",Aspect,['simple'],['simple'],['simple'],['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The text uses the simple aspect to express a simple fact about what can or cannot be consecrated, blessed, or ordained.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The example uses the simple aspect to express a simple fact about what one could or could not consecrate, bless, or use for certain purposes.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact without indicating any completion, ongoing nature, or ongoing completion of an action.""
}",['simple'],1
275,[3],"You believe any woman who goes against a Republican and you don't believe any woman who goes against a Democrat.""",Aspect,['simple'],['simple'],['simple'],['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The statement expresses a simple fact without indicating completion, ongoing nature, or a combination thereof.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The example text uses the simple aspect to express a simple fact or general truth.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The statement presents a simple fact and does not indicate completion, ongoingness, or a combination of the two actions."" 
}",['simple'],1
282,[3 9],"And if Trumpism is not the future of the GOP, it is hard to see what a promising GOP agenda might look like.",Aspect,['simple'],['simple'],['simple'],['simple'],"{
  ""Properties"": [
    ""simple""
  ],
  ""Explanation"": ""The statement expresses a simple fact about the current state of the GOP and does not focus on the completion, progress, or duration of any action.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact without indicating completion, ongoingness, or habitualness.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence describes a simple fact about the current state of the GOP and does not refer to any specific completed, ongoing, or habitual actions.""
}",['simple'],1
296,[3],"There is only one Magisterium, he said, and bishops' conferences can only decide about pastoral questions.",Aspect,['simple'],['simple'],['simple'],['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact without indicating any ongoing, completed, or perfect progressive action.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about the nature of the Magisterium and the decision-making authority of bishops' conferences.""
}",['simple'],"{
  ""Properties"": [""simple""]
}",['simple'],1
300,[3],"You do not like to beat around the bush, and neither do we, so allow us to say frankly that we do not understand your teaching about Islam, as we read in paragraphs 252 and 253 of Evangelii Gaudium, because it does not account for the fact that Islam came AFTER Christ, and so is, and can only be, an Antichrist (see 1 Jn 2.22), and one of the most dangerous because it presents itself as the fulfillment of Revelation (of which Jesus would have been only a prophet).",Aspect,['simple'],"['simple', 'perfect']",['simple'],['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The tense used in the text expresses a simple fact, stating a general truth or opinion without any specific time reference.""
}",['simple'],"{
  ""Properties"": [""simple"", ""perfect""],
  ""Explanation"": ""The text uses the simple aspect to express a simple fact ('Islam came AFTER Christ') and the perfect aspect to express a completed action ('Jesus would have been only a prophet').""
}","['simple', 'perfect']","{
  ""Properties"": [""simple""],
  ""Explanation"": ""The text expresses a simple fact about the speaker's belief regarding the relationship between Islam and Christ, without indicating any completion, ongoing nature, or progression of the action.""
}",['simple'],0
