sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,res1_x,gpt_props1_x,res2_x,gpt_props2_x,res3_x,gpt_props3_x,,props_a_majority,props_gpt_majority,ann_gpt_agreemnt,props_gpt4_majority,res1_y,gpt_props1_y,res2_y,gpt_props2_y,res3_y,gpt_props3_y,gpt3.5_consistency_y,gpt3.5_majority
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Aspect,"['simple', 'perfect']",['perfect'],"['simple', 'perfect']",FALSE,"{
  ""Properties"": [""perfect"", ""perfect progressive""],
  ""Explanation"": ""The use of 'have read' indicates a completed action (perfect), and the use of 'have been reading' indicates the end of an ongoing action (perfect progressive).""
}","['perfect', 'perfect_progressive']","{
  ""Properties"": [""perfect""],
  ""Explanation"": ""The use of 'I have read' indicates a completed action.""
}",['perfect'],"{
  ""Properties"": [""perfect""],
  ""Explanation"": ""The use of 'have read' indicates a completed action, showing that the speaker has finished reading the Cardinal's exposition.""
}",['perfect'],,"['simple', 'perfect']",['perfect'],0,[],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact without indicating any ongoing or completed action.""
}",['simple'],"{
  ""Properties"": [""simple"", ""perfect""],
  ""Explanation"": ""The sentence contains simple aspect to express a simple fact, and perfect aspect to indicate a completed action.""
}","['simple', 'perfect']","{
  ""Properties"": [""simple"", ""perfect""],
  ""Explanation"": ""The sentence 'I have read' indicates a completed action ('perfect'), and the rest of the sentence is expressing a simple fact without any ongoing or habitual action ('simple').""
}","['simple', 'perfect']",FALSE,
73,[0],"Meanwhile, according to a Breitbart report by Allum Bokhari, “By inserting negative search suggestions under the name of a candidate, search engines like Google can shift the opinions of undecided voters by up to 43.4 percent, according to new research by a team at the American Institute for Behavioral Research and Technology and reported exclusively by Breitbart News.”",Aspect,['simple'],['simple'],['simple'],TRUE,"{
  ""Properties"": [""simple"", ""perfect progressive""],
  ""Explanation"": ""The text contains simple expressions of fact such as 'search engines like Google can shift the opinions of undecided voters' and also expresses the end of an ongoing action with 'according to new research by a team at the American Institute for Behavioral Research and Technology and reported exclusively by Breitbart News.'""
}","['simple', 'perfect_progressive']","{
  ""Properties"": [""simple""],
  ""Explanation"": ""The example text expresses a simple fact without indicating completion, ongoing action, or the end of an ongoing action.""
}",['simple'],"{
  ""Properties"": [""simple"", ""perfect""],
  ""Explanation"": ""The text contains simple aspect in 'search engines like Google can shift' and perfect aspect in 'according to new research by a team at the American Institute'.""
}","['simple', 'perfect']",,['simple'],"['simple', 'perfect_progressive']",0,[],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The text expresses a simple fact about the reported research findings without indicating any completed or ongoing actions.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The text expresses a simple fact about the research findings without indicating completion, ongoingness, or repetition of the action.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The text presents a simple fact about the impact of negative search suggestions on undecided voters, without indicating completion, ongoingness, or progressiveness of the action.""
}",['simple'],TRUE,
80,[1],"Also, as this is an unprecedented moment in papal history, perhaps the unprecedented step of recalling Benedict XVI to the Chair of St. Peter should also be considered sooner rather than later, before this crisis gets any more out-of-control than it already is.",Aspect,['simple'],['simple'],['simple'],TRUE,"{
  ""Properties"": [""simple"", ""progressive""],
  ""Explanation"": ""The text contains the simple aspect as it expresses simple facts, and the progressive aspect as it refers to an ongoing or incomplete action.""
}","['simple', 'progressive']","{
  ""Properties"": [""progressive"", ""perfect""],
  ""Explanation"": ""The use of 'is' in 'this crisis gets' signals a progressive action, whereas the use of 'before' indicates a completed action in the future.""
}","['progressive', 'perfect']","{
  ""Properties"": [""simple"", ""perfect"", ""progressive""],
  ""Explanation"": ""The text includes simple fact about an unprecedented moment, expresses a completed action with 'should also be considered', and expresses an ongoing action with 'before this crisis gets'."" 
}","['simple', 'perfect', 'progressive']",,['simple'],"['simple', 'progressive']",0,[],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about a potential action being considered and does not specify the completion, ongoing nature, or duration of the action.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact or statement about a proposed action to recall Benedict XVI to the Chair of St. Peter.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about the possibility of recalling Benedict XVI to the Chair of St. Peter in light of the unprecedented moment in papal history.""
}",['simple'],TRUE,
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Aspect,['simple'],['simple'],['simple'],TRUE,"{
    ""Properties"": [""simple""],
    ""Explanation"": ""The example text expresses a simple fact about a future event without indicating completion or ongoing action.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The example text expresses a simple fact of what will happen in the future, using the simple form of the verb 'will fall'.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The example text expresses a simple fact about a future event, without indicating completion or ongoing action.""
}",['simple'],,['simple'],['simple'],1,[],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about a future event without indicating any ongoing or completed action.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence is expressing a simple fact about a future event.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact without indicating the completion, ongoing nature, or culmination of the action.""
}",['simple'],TRUE,
117,[ 1 12],"And so Chris Bryant, “a senior Labour backbencher, has written to May urging her to go further, and issue an official ban on Donald Trump from entering the UK on the grounds he is condoning fascism and his presence is ‘not conducive to the public good’, a senior Labour MP has said.”",Aspect,"['simple', 'progressive', 'perfect']",['perfect'],['perfect'],FALSE,"{
  ""Properties"": [""perfect"", ""progressive""],
  ""Explanation"": ""The use of 'has written' expresses a completed action (perfect), while 'is condoning' expresses an ongoing action (progressive).""
}","['perfect', 'progressive']","{
  ""Properties"": [""simple""],
  ""Explanation"": ""The example text expresses a simple fact about Chris Bryant's action of writing a letter to May.""
}",['simple'],"{
  ""Properties"": [""simple"", ""progressive""],
  ""Explanation"": ""The text contains simple aspect in the form of 'has written' and 'has said', and progressive aspect in the form of 'is condoning' and 'is not conducive'.""
}","['simple', 'progressive']",,['perfect'],"['perfect', 'progressive']",0,[],"{
  ""Properties"": [""perfect""],
  ""Explanation"": ""The use of 'has written' indicates a completed action, which is an example of the perfect aspect.""
}",['perfect'],"{
  ""Properties"": [""simple"", ""perfect""],
  ""Explanation"": ""The sentence contains a simple fact (Chris Bryant has written to May) and expresses a completed action (has written).""
}","['simple', 'perfect']","{
  ""Properties"": [
    ""perfect""
  ],
  ""Explanation"": ""The sentence 'has written' indicates a completed action, which aligns with the perfect aspect.""
}",['perfect'],FALSE,
118,[1],"In any case, note well: the letter to me from the UK Home Office said that I was banned for saying that “[Islam] is a religion and is a belief system that mandates warfare against unbelievers…”",Aspect,['simple'],['simple'],['simple'],TRUE,"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The example text expresses a simple fact about the content of the letter from the UK Home Office.""
}",['simple'],"{
  ""Properties"": [],
  ""Explanation"": ""The example text does not contain any specific aspect properties. It is a statement of fact without any indication of completion, ongoing, or habitual action.""
}",[],"{
    ""Properties"": [""simple""],
    ""Explanation"": ""The example text expresses a simple fact about the content of the letter from the UK Home Office.""
}",['simple'],,['simple'],['simple'],1,[],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact without any indication of completion, ongoing action, or ongoing completion.""
}",['simple'],"{
  ""Properties"": [
    ""simple""
  ],
  ""Explanation"": ""The sentence expresses a simple fact about the content of the letter from the UK Home Office.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about the content of the letter, stating it as a straightforward piece of information.""
}",['simple'],TRUE,
127,[1],"I have seen a veritable chorus of Catholics on social media declaring that if Paul VI is canonised, their loss of faith in the Church as an institution will be complete.",Aspect,['perfect'],['perfect'],[],FALSE,"{
    ""Properties"": [""perfect""],
    ""Explanation"": ""The use of 'have seen' indicates a completed action.""
}",['perfect'],"```json
{
    ""Properties"": [""perfect"", ""progressive""],
    ""Explanation"": ""The use of 'have seen' indicates a completed action (perfect), while 'declaring' indicates an ongoing or incomplete action (progressive).""
}
```","['perfect', 'progressive']","{
  ""Properties"": [""perfect"", ""progressive""],
  ""Explanation"": ""The use of 'have seen' indicates a completed action (perfect), and 'declaring' indicates an ongoing or habitual action (progressive).""
}","['perfect', 'progressive']",,['perfect'],"['perfect', 'progressive']",0,[],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact without indicating completion or ongoing nature of the action.""
}",['simple'],"{
  ""Properties"": [""simple"", ""perfect"", ""progressive""],
  ""Explanation"": ""The statement 'I have seen' uses the perfect aspect to indicate a completed action, while 'declaring' uses the progressive aspect to indicate an ongoing or habitual action.""
}","['simple', 'perfect', 'progressive']","{
  ""Properties"": [""perfect""],
  ""Explanation"": ""The use of 'has been canonised' indicates a completed action, suggesting that the possibility of Paul VI's canonization has already occurred.""
}",['perfect'],FALSE,
143,[9 1 8],"Sagacious gun owners have always known that the ultimate goal of gun control extremists such as Chuck Schumer, Nancy Pelosi, Dianne Feinstein, et al., has always been gun confiscation.",Aspect,['perfect_progressive'],['perfect'],['perfect'],FALSE,"{
  ""Properties"": [""simple"", ""perfect"", ""perfect progressive""],
  ""Explanation"": ""The simple aspect is used in 'gun owners have always known', the perfect aspect is used in 'has always been', and the perfect progressive aspect is used in 'has always been'.""
}","['simple', 'perfect', 'perfect_progressive']","{
  ""Properties"": [""perfect"", ""perfect progressive""],
  ""Explanation"": ""The use of 'have always known' and 'has always been' indicate the completion of the action, as well as the ongoing nature of the action.""
}","['perfect', 'perfect_progressive']","{
  ""Properties"": [""perfect"", ""perfect progressive""],
  ""Explanation"": ""The use of 'has always known' indicates a completed action, while 'has always been' indicates the end of an ongoing action.""
}","['perfect', 'perfect_progressive']",,['perfect'],"['perfect', 'perfect_progressive']",0,[],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about the belief of gun owners.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about the beliefs of gun owners without reference to the completion, ongoingness, or duration of any action.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about a group of individuals and their ultimate goal, without any emphasis on completion, ongoingness, or duration of the action.""
}",['simple'],TRUE,
159,[1],This is a very real threat – one that is largely immune to attack from the air.,Aspect,['simple'],['simple'],['simple'],TRUE,"{
  ""Properties"": [""simple"", ""progressive""],
  ""Explanation"": ""The text uses the simple aspect to express a simple fact ('This is a very real threat') and the progressive aspect to express an ongoing action ('one that is largely immune to attack from the air').""
}","['simple', 'progressive']","{
    ""Properties"": [""simple"", ""progressive""],
    ""Explanation"": ""The text contains the simple aspect in 'This is a very real threat' and the progressive aspect in 'is largely immune to attack from the air.'""
}","['simple', 'progressive']","{
  ""Properties"": [""simple"", ""progressive""],
  ""Explanation"": ""The use of 'is' indicates a progressive aspect, while 'is immune' indicates a simple aspect.""
}","['simple', 'progressive']",,['simple'],"['simple', 'progressive']",0,[],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about the threat being largely immune to attack from the air.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about the nature of the threat.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about the threat being immune to attack from the air.""
}",['simple'],TRUE,
188,[1],They would be immediate targets should the US and South Korea attack the north.,Aspect,['simple'],['simple'],['simple'],TRUE,"{
    ""Properties"": [""simple"", ""progressive""],
    ""Explanation"": ""The use of simple aspect is seen in 'should the US and South Korea attack the north', expressing a simple fact. The use of progressive aspect is seen in 'They would be immediate targets', expressing an ongoing or potential action.""
}","['simple', 'progressive']","{
  ""Properties"": [""simple""],
  ""Explanation"": ""The example text expresses a simple fact about the potential targets in case of a US and South Korea's attack on the north.""
}",['simple'],"{
  ""Properties"": [
    ""progressive""
  ],
  ""Explanation"": ""The use of 'would be' indicates an ongoing or potential action in the future.""
}",['progressive'],,['simple'],"['simple', 'progressive']",0,[],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact without indicating any completion, ongoing, or habitual action.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about a hypothetical situation.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence is expressing a simple fact about a hypothetical situation without indicating any specific aspect of time or completion of the action.""
}",['simple'],TRUE,
194,[9 1],"Think of this, the meekest man alive was sent to the face of the Pharaoh to tell him to obey or else.",Aspect,['simple'],['simple'],['simple'],TRUE,"{
  ""Properties"": [""simple"", ""progressive""],
  ""Explanation"": ""The sentence 'was sent' indicates a past ongoing action, and the sentence 'to tell him to obey' indicates a simple fact.""
}","['simple', 'progressive']","{
    ""Properties"": [""simple"", ""progressive""],
    ""Explanation"": ""The example text uses the simple aspect to express a simple fact, and the progressive aspect to show an ongoing action.""
}","['simple', 'progressive']","{
  ""Properties"": [""simple""],
  ""Explanation"": ""The example text expresses a simple fact about a past event ('the meekest man alive was sent to the face of the Pharaoh to tell him to obey or else').""
}",['simple'],,['simple'],"['simple', 'progressive']",0,[],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact without indicating completion, ongoingness, or habitualness of the action."" 
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about the actions of the meek man without any indication of completion, ongoingness, or duration.""
}",['simple'],"{
  ""Properties"": [""simple""],
  ""Explanation"": ""The sentence expresses a simple fact about the action of the meekest man being sent to the Pharaoh.""
}",['simple'],TRUE,
