sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,res1,gpt_props1,res2,gpt_props2,res3,gpt_props3,props_a_majority,props_gpt_majority,ann_gpt_agreemnt,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency
68,[0],"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases.",Tense,['present'],['present'],['present'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The example text uses the past tense to express something that already happened ('I have read', 'find mention').
}",['past'],"{
  ""Properties"": [""past"", ""progression""],
  ""Explanation"": ""The text uses the past tense to express something that already happened ('I have read...'). It also changes tense in the middle of a sentence for effect ('...and I only find mention...').""
}","['past', 'progression']","{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'have read' and 'find mention' indicate past tense.""
}",['past'],['present'],['past'],-1,[],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The text uses the past tense ('have read', 'find mention', 'exposition', 'find mention') to indicate that these actions have already occurred.""
}",['past'],"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The use of 'have read', 'find mention', and 'only find' indicate the presence of both present and past tense in the text.""
}","['present', 'past']","{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of past tense 'have read' and 'find mention' indicates that the actions have already happened.""
}",['past'],0
73,[0],"Meanwhile, according to a Breitbart report by Allum Bokhari, “By inserting negative search suggestions under the name of a candidate, search engines like Google can shift the opinions of undecided voters by up to 43.4 percent, according to new research by a team at the American Institute for Behavioral Research and Technology and reported exclusively by Breitbart News.”",Tense,"['past', 'present']",['present'],['past'],"{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'meanwhile' at the beginning of the sentence indicates present tense to create an immediacy effect. Also, the changing tense in the middle of the sentence, from 'according to' to 'can', is used for effect.""
}","['present', 'progression']","{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'can shift' and 'according to new research' indicate the present tense.""
}",['present'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'reported' and 'inserting' indicates the past tense in the example text.""
}",['past'],"['past', 'present']","['present', 'progression']",0,[],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of present tense ('can shift') in the reported research findings emphasizes the current relevance and impact of the information being reported.""
}",['present'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of the present tense 'inserting' and 'can shift' creates an immediate and impactful effect, often seen in news headlines.""
}",['present'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of present tense 'can shift' creates an immediacy effect and emphasizes the action described.""
}",['present'],1
80,[1],"Also, as this is an unprecedented moment in papal history, perhaps the unprecedented step of recalling Benedict XVI to the Chair of St. Peter should also be considered sooner rather than later, before this crisis gets any more out-of-control than it already is.",Tense,['present'],['present'],['present'],"{
  ""Properties"": [""present"", ""future""],
  ""Explanation"": ""The use of 'is' in 'this is an unprecedented moment', and 'should be considered sooner' indicate the use of present and future tense.""
}","['present', 'future']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'is' in 'this crisis gets' and 'already is' indicates present tense and the change from 'is' to 'was' in 's this crisis gets any more out-of-control than it already is' indicates progression of tense for effect.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'is' in 'this is an unprecedented moment' and 'gets' in 'before this crisis gets' indicates the present tense. The change from 'is' to 'gets' in the middle of the sentence creates a progression."" 
}","['present', 'progression']",['present'],"['present', 'progression']",0,[],"{
  ""Properties"": [""present"", ""future""],
  ""Explanation"": ""The use of 'is' in 'before this crisis gets any more out-of-control than it already is' signifies present tense, and 'should also be considered' suggests a future action.""
}","['present', 'future']","{
  ""Properties"": [""future""],
  ""Explanation"": ""The use of 'should... be considered' and 'before this crisis gets' indicate the use of future tense to express something that has yet to happen.""
}",['future'],"{
  ""Properties"": [""future""],
  ""Explanation"": ""The use of 'should' and 'before' indicate a future action or possibility.""
}",['future'],0
83,[1],"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall.",Tense,['future'],['future'],[],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'will fall' indicates a future action, emphasizing the immediacy and certainty of the event.""
}",['present'],"{
    ""Properties"": [""future""],
    ""Explanation"": ""The use of the word 'will' indicates a future tense, expressing something that has yet to happen.""
}",['future'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'will fall' indicates a future action, and the immediacy effect of the present tense is used to emphasize the gravity of the situation.""
}",['present'],['future'],['present'],-1,[],"{
  ""Properties"": [""future""],
  ""Explanation"": ""The use of the word 'will' indicates the expression of a future event, suggesting that the persecution has not yet occurred but is anticipated to happen.""
}",['future'],"{
  ""Properties"": [""future""],
  ""Explanation"": ""The use of 'will fall' indicates a future tense, expressing something that has yet to happen.""
}",['future'],"{
  ""Properties"": [""future""],
  ""Explanation"": ""The use of 'will fall' indicates a future action, describing something that has yet to happen.""
}",['future'],1
117,[ 1 12],"And so Chris Bryant, “a senior Labour backbencher, has written to May urging her to go further, and issue an official ban on Donald Trump from entering the UK on the grounds he is condoning fascism and his presence is ‘not conducive to the public good’, a senior Labour MP has said.”",Tense,['present'],['present'],['present'],"{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of present tense in 'has written' and 'urging' emphasizes the immediacy of the action, while the change from past tense in 'has written' to present tense in 'has said' creates a sense of progression.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""past"", ""progression""],
  ""Explanation"": ""The text uses present tense for immediacy effect and to emphasize an action in the headline 'has written to May urging her to go further', past tense for actions that have already happened in 'a senior Labour MP has said', and progression by changing tense in the middle of a sentence for effect in 'and issue an official ban on Donald Trump from entering the UK on the grounds he is condoning fascism and his presence is ‘not conducive to the public good’'.""
}","['present', 'past', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'has written' and 'urging' in the same sentence indicates the use of both present and progression tenses for emphasis and effect.""
}","['present', 'progression']",['present'],"['present', 'progression']",0,[],"{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of present tense ('has written', 'is condoning', 'has said') provides immediacy and emphasizes the actions being taken, while the progression of tenses from 'has written' to 'has said' in the same sentence is used for a rhetorical effect.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'has written' and 'urging' indicates the present tense, creating immediacy. Additionally, the shift from 'has written' to 'has said' in the same sentence creates a tense progression for effect.""
}","['present', 'progression']","{
  ""Properties"": [
    ""present""
  ],
  ""Explanation"": ""The use of 'has written', 'urging', and 'has said' indicates the use of present tense for immediacy and emphasis.""
}",['present'],0
118,[1],"In any case, note well: the letter to me from the UK Home Office said that I was banned for saying that “[Islam] is a religion and is a belief system that mandates warfare against unbelievers…”",Tense,"['past', 'present']",['past'],['present'],"{
    ""Properties"": [""past""],
    ""Explanation"": ""The example text uses the past tense to express something that already happened (the letter from the UK Home Office).""
}",['past'],"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The use of 'said' indicates past tense, and the use of 'is' emphasizes the immediacy effect.""
}","['present', 'past']","```{
   ""Properties"": [""present""],
   ""Explanation"": ""The use of the present tense 'is' emphasizes the immediacy of the belief system mentioned in the text.""
}```",['present'],"['past', 'present']",['past'],0,[],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The text uses the past tense to express an action that has already happened ('the letter... said').""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The text uses the past tense to describe an action that has already happened (the letter received from the UK Home Office).""
}",['past'],"{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The text uses the present tense to emphasize the content of the letter and its message. Additionally, it switches to the past tense ('said') in the middle of the sentence for a rhetorical effect.""
}","['present', 'progression']",0
127,[1],"I have seen a veritable chorus of Catholics on social media declaring that if Paul VI is canonised, their loss of faith in the Church as an institution will be complete.",Tense,"['future', 'present']",['present'],[],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The text uses the past tense to express something that has already happened.""
}",['past'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The present tense is used to emphasize a recurring action and give immediacy to the declaration.""
}",['present'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The example text uses the past tense to express something that already happened (saw a chorus of Catholics on social media).""
}",['past'],"['future', 'present']",['past'],-1,[],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'is' in 'Paul VI is canonized' indicates the present tense, which is often used in headlines for immediacy effect or to emphasize an action.""
}",['present'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'is' in 'Paul VI is canonised' indicates the present tense, suggesting immediacy and emphasis in the statement.""
}",['present'],"{
  ""Properties"": [""future""],
  ""Explanation"": ""The use of 'will be' indicates a future event, suggesting the future tense property is present in the text.""
}",['future'],0
143,[9 1 8],"Sagacious gun owners have always known that the ultimate goal of gun control extremists such as Chuck Schumer, Nancy Pelosi, Dianne Feinstein, et al., has always been gun confiscation.",Tense,['present'],['present'],['present'],"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses present tense 'have always known' for immediacy and past tense 'has always been' to express something that already happened.""
}","['present', 'past']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'have always known' and 'has always been' indicate the use of present tense for immediacy effect. The change from past tense in 'have always known' to present tense in 'has always been' is a use of progression for effect.""
}","['present', 'progression']","```json
{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The text uses present tense in the beginning ('have always known'), and then switches to past tense for effect ('has always been'). This change in tense creates a sense of progression and emphasizes the persistent nature of the situation.""
}
```","['present', 'progression']",['present'],"['present', 'progression']",0,[],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'have always known' is in the present perfect tense, indicating a belief or action that has continued up to the present moment, which emphasizes the persistence of the belief that gun control extremists aim for gun confiscation.""
}",['present'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'have always known' in the past perfect tense suggests a continuous action that started in the past and is still ongoing, creating a sense of immediacy and emphasizing the belief of gun owners."" 
}",['present'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'have always known' in the present perfect tense emphasizes the ongoing nature of the belief held by gun owners.""
}",['present'],1
159,[1],This is a very real threat – one that is largely immune to attack from the air.,Tense,['present'],['present'],['present'],"{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'is' indicates present tense for immediacy effect, and the change from 'is' to 'largely immune' in the middle of the sentence creates a progression for effect.""
}","['present', 'progression']","{
  ""Properties"": [""present""],
  ""Explanation"": ""The present tense 'is' is used to describe a current and ongoing situation.""
}",['present'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'is' in 'This is a very real threat' indicates the present tense, emphasizing the immediate nature of the threat.""
}",['present'],['present'],['present'],1,[],"{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of present tense in 'is' emphasizes the current nature of the threat, while the progression from present ('is') to past ('largely immune') creates a contrast for effect.""
}","['present', 'progression']","{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'is' indicates the use of present tense, which is often used in headlines for immediacy effect or to emphasize an action.""
}",['present'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'is' in 'is largely immune' indicates the present tense, often used to emphasize an action or to provide immediacy effect.""
}",['present'],0
188,[1],They would be immediate targets should the US and South Korea attack the north.,Tense,['future'],['future'],['future'],"{
  ""Properties"": [""future""],
  ""Explanation"": ""The use of 'would be' indicates a future possibility or condition.""
}",['future'],"{
    ""Properties"": [""future""],
    ""Explanation"": ""The use of 'would' indicates a future tense in the sentence.""
}",['future'],"{
  ""Properties"": [""future""],
  ""Explanation"": ""The use of 'would be' indicates a future tense, expressing something that has yet to happen.""
}",['future'],['future'],['future'],1,[],"{
  ""Properties"": [""future""],
  ""Explanation"": ""The use of 'would' indicates a future possibility.""
}",['future'],"{
  ""Properties"": [""future""]
}",['future'],"{
  ""Properties"": [
    ""future""
  ],
  ""Explanation"": ""The sentence uses the future tense to express something that has yet to happen.""
}",['future'],1
194,[9 1],"Think of this, the meekest man alive was sent to the face of the Pharaoh to tell him to obey or else.",Tense,['past'],['past'],['past'],"{
  ""Properties"": [""past"", ""progression""],
  ""Explanation"": ""The text uses the past tense to describe an event that already happened ('was sent to the face of the Pharaoh') and also utilizes progression by changing tense in the middle of the sentence ('was sent' to 'to tell him').""
}","['past', 'progression']","{
  ""Properties"": [""past""],
  ""Explanation"": ""The example text uses the past tense to express something that already happened.""
}",['past'],"{
  ""Properties"": [""past"", ""progression""],
  ""Explanation"": ""The use of 'was sent' indicates past tense, and the change in tense from 'was' to 'tell' in the middle of the sentence creates a progression for effect.""
}","['past', 'progression']",['past'],"['past', 'progression']",0,[],"{
  ""Properties"": [
    ""past""
  ],
  ""Explanation"": ""The text uses the past tense to describe an event that has already happened ('was sent', 'was', 'to tell')""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'was sent' and 'to tell' indicates that the example text is written in the past tense.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The text uses the past tense to indicate that the action has already happened.""
}",['past'],1
199,[1],"“When Kavanaugh is on the Supreme Court, undermining our #4thAmendment right against unreasonable searches and seizures, it will be too late for others to join me.”",Tense,"['future', 'present']",['progression'],['present'],"{
  ""Properties"": [""present"", ""future""],
  ""Explanation"": ""The text uses the present tense 'is' to emphasize the immediacy and the future tense 'will' to express something that has yet to happen.""
}","['present', 'future']",timeout,[],"{
  ""Properties"": [""present"", ""future""],
  ""Explanation"": ""The text uses present tense 'is' to indicate current action and future tense 'will' to indicate something that has yet to happen.""
}","['present', 'future']","['future', 'present']","['present', 'future']",0,[],"{
  ""Properties"": [
    ""future""
  ],
  ""Explanation"": ""The use of 'is' and 'will be' indicates the future tense, expressing something that has yet to happen.""
}",['future'],"{
  ""Properties"": [
    ""future""
  ],
  ""Explanation"": ""The use of 'will be' indicates a future event, expressing something that has yet to happen.""
}",['future'],"{
  ""Properties"": [""future"", ""present""],
  ""Explanation"": ""The use of 'is' and 'will' indicate future tense, and the overall structure of the sentence emphasizes a sense of immediacy, making use of present tense.""
}","['future', 'present']",0
202,[1],"A gird failure would almost immediately fling the United States into a state of panic, and it’s always good to be prepared just in case.",Tense,['present'],['present'],"['future', 'present']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'fling' in the present tense emphasizes the immediacy of the potential event, while the switch to the future tense in 'it's always good to be prepared' creates a progression effect for rhetorical impact.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'immediately' and 'good to be prepared just in case' indicate present tense for immediacy effect. The change from 'would' to 'fling' in the sentence also shows progression for effect.""
}","['present', 'progression']","```json
{
    ""Properties"": [""present"", ""progression""],
    ""Explanation"": ""The use of 'would' in 'a grid failure would' indicates a potential future event, and the shift from 'failure would' to 'fling' creates a progression of tense for effect.""
}
```","['present', 'progression']",['present'],"['present', 'progression']",0,[],"{
  ""Properties"": [""future""],
  ""Explanation"": ""The use of 'would' indicates a future possibility, suggesting a future tense usage.""
}",['future'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The present tense is used throughout the sentence to give a sense of immediacy and to emphasize the potential impact of a grid failure.""
}",['present'],"{
  ""Properties"": [""future""],
  ""Explanation"": ""The use of 'would' indicates a future hypothetical situation, suggesting the property of future tense.""
}",['future'],0
