sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority
275,[3],"You believe any woman who goes against a Republican and you don't believe any woman who goes against a Democrat.""",Mood,['indicative'],['indicative'],['indicative'],True,['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The statement expresses a simple fact or opinion without any hypothetical or imaginary elements, suggestions, wishes, or commands. It is a straightforward assertion of a belief.""
}",['indicative'],"{
  ""Properties"": [""indicative"", ""exclamatory""],
  ""Explanation"": ""The sentence expresses a simple statement of a fact or opinion, making it indicative. Additionally, the exclamation conveys a sense of strong emotion, making it exclamatory as well.""
}","['indicative', 'exclamatory']","{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The statement is expressing a simple opinion or belief without any condition or hypothetical scenario, making use of the indicative mood.""
}",['indicative'],False,"{
  ""Properties"": [""indicative"", ""imperative""],
  ""Explanation"": ""The statement expresses a simple opinion ('you believe') and also includes a directive ('don't believe'). Therefore, it uses both the indicative and imperative mood.""
}","['indicative', 'imperative']","{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The statement expresses a simple opinion or belief without any hypothetical or imagined scenarios, exclamations, commands, wishes, or questions."" 
}",['indicative'],"{
  ""Properties"": [""indicative"", ""imperative""],
  ""Explanation"": ""The statement expresses a simple opinion ('you believe') and also includes a directive ('don't believe'). Therefore, it uses the indicative and imperative mood.""
}","['indicative', 'imperative']",0,"['indicative', 'imperative']"
282,[3 9],"And if Trumpism is not the future of the GOP, it is hard to see what a promising GOP agenda might look like.",Mood,['indicative'],['indicative'],['indicative'],True,['indicative'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'if' indicates a hypothetical or possible situation, qualifying for the subjunctive mood.""
}",['subjunctive'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'is not' expresses a hypothetical or possible situation, indicating the use of the subjunctive mood.""
}",['subjunctive'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'is not' expresses a hypothetical or alternative situation, indicating the use of the subjunctive mood.""
}",['subjunctive'],True,"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'if' and 'might' indicates a hypothetical or possible scenario, fitting the definition of the subjunctive mood.""
}",['subjunctive'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'if' and 'might' expresses a hypothetical or possible situation, indicating the use of the subjunctive mood.""
}",['subjunctive'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'if' and 'might' indicates a hypothetical or possible situation, fitting the definition of the subjunctive mood.""
}",['subjunctive'],1,['subjunctive']
307,[3],"Either you stand with BDS, Hamas, blood libels and those who want to destroy Israel or with Jews.",Mood,['indicative'],['indicative'],['indicative'],True,['indicative'],"{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The statement contains a command or directive, urging the audience to make a choice between two options.""
}",['imperative'],"{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The sentence is commanding or directing the reader to make a choice between standing with certain groups or with Jews.""
}",['imperative'],"{
  ""Properties"": [""subjunctive"", ""imperative""],
  ""Explanation"": ""The statement presents a hypothetical situation and also includes a directive or command to choose a side.""
}","['subjunctive', 'imperative']",False,"{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The sentence contains a directive or command, urging the reader to choose a side.""
}",['imperative'],"{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The sentence contains an imperative mood, as it is a command or directive to the reader to make a choice between two options.""
}",['imperative'],"{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The sentence contains a directive or command, urging the reader to make a choice between two options.""
}",['imperative'],1,['imperative']
365,[6 4],"""What you want to do is destroy this guy's life, hold this seat open, and hope you win in 2020,"" Graham blasted Democrat Senators on the committee.",Mood,['indicative'],['indicative'],['indicative'],True,"['interrogative', 'indicative']","{
  ""Properties"": [
    ""imperative""
  ],
  ""Explanation"": ""The statement contains an imperative mood as it is giving a directive or command to 'destroy this guy's life' and 'hold this seat open'.""
}",['imperative'],"{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The statement contains an imperative mood, as it is giving a command or directive to destroy the guy's life, hold the seat open, and hope to win in 2020.""
}",['imperative'],"{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The statement contains an imperative mood as the speaker is giving a command or directive to the Democrat Senators.""
}",['imperative'],True,"{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The sentence contains an imperative mood as it is giving a command or directive to destroy the guy's life, hold the seat open, and hope for a win in 2020.""
}",['imperative'],"{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The sentence contains an imperative mood as it is giving a command or directive to the Democrat Senators.""
}",['imperative'],"{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The sentence contains an imperative mood as it expresses a command or directive to destroy the guy's life, hold the seat open, and hope for a win in 2020.""
}",['imperative'],1,['imperative']
369,[4 3],"To bless always means that something shall flourish, because only then when there is a blessing upon a cause or a project, will something good come out of it.",Mood,['indicative'],['indicative'],['indicative'],True,['indicative'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'shall' and 'will' in the sentence expresses a hypothetical or possible situation, indicating the use of the subjunctive mood.""
}",['subjunctive'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'means' and 'will' indicate a hypothetical or possible situation, qualifying the use of the subjunctive mood.""
}",['subjunctive'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The text is expressing a simple statement of a fact or opinion about the meaning of blessing.""
}",['indicative'],False,"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'shall' and 'will' indicates a hypothetical or possible situation, making it subjunctive.""
}",['subjunctive'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'means' and 'will' express a hypothetical or possible situation, indicating the use of the subjunctive mood.""
}",['subjunctive'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'means' and 'will' indicates a hypothetical or possible situation, fitting the definition of the subjunctive mood.""
}",['subjunctive'],1,['subjunctive']
387,[4],"On the one hand, it could refuse to grant Trump what he wanted and let the records be released, which it knew would point to the CIA’s guilt in the assassination.",Mood,['indicative'],['indicative'],['indicative'],True,['indicative'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The example uses the subjunctive mood to express a hypothetical situation ('it could refuse to grant Trump what he wanted') and what is imagined ('which it knew would point to the CIA’s guilt in the assassination').""
}",['subjunctive'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'could' indicates a hypothetical or possible scenario, fitting the definition of the subjunctive mood.""
}",['subjunctive'],"{
  ""Properties"": [
    ""subjunctive""
  ],
  ""Explanation"": ""The use of 'could' expresses a hypothetical or possible scenario, indicating the use of the subjunctive mood.""
}",['subjunctive'],True,"{
  ""Properties"": [
    ""subjunctive""
  ],
  ""Explanation"": ""The use of 'could' indicates a hypothetical or possible scenario, which aligns with the subjunctive mood.""
}",['subjunctive'],"{
  ""Properties"": [
    ""subjunctive""
  ],
  ""Explanation"": ""The use of 'could' indicates a hypothetical or possible scenario, which aligns with the subjunctive mood.""
}",['subjunctive'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'could' indicates a hypothetical or possible scenario, fitting the definition of the subjunctive mood.""
}",['subjunctive'],1,['subjunctive']
446,[4],"To eradicate these, Muslims are required to wage war until there exists none of it in the world, and the only religion is that of Allah.",Mood,['indicative'],['indicative'],['indicative'],True,['indicative'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The sentence expresses what is required or demanded based on a hypothetical or imagined situation, using the subjunctive mood.""
}",['subjunctive'],"{
  ""Properties"": [
    ""indicative""
  ],
  ""Explanation"": ""The statement expresses a fact or opinion without any suggestion, wish, doubt, command, or question, fitting the definition of indicative mood.""
}",['indicative'],"{
  ""Properties"": [""indicative"", ""subjunctive""],
  ""Explanation"": ""The sentence uses the indicative mood to express a fact about the requirement for Muslims, as well as the subjunctive mood to express what is imagined or hypothetical.""
}","['indicative', 'subjunctive']",False,"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'are required' expresses a requirement or demand, which falls under the subjunctive mood.""
}",['subjunctive'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion, indicating the belief or requirement for Muslims to wage war until there is no religion other than that of Allah.""
}",['indicative'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'are required' expresses a requirement or demand, which falls under the subjunctive mood.""
}",['subjunctive'],0,['subjunctive']
747,[9 5],"And finally, in a bizarre tweet, Greenwald opined, “I hope the story [maligning Assange] turns out true” – apparently because maintenance of the Guardian’s reputation is more important than Assange’s fate and the right of journalists to dig up embarrassing secrets without fear of being imprisoned.",Mood,['indicative'],['indicative'],['indicative'],True,"['indicative', 'optative']","{
  ""Properties"": [""optative""],
  ""Explanation"": ""The use of 'I hope' expresses a wish, indicating the optative mood.""
}",['optative'],"{
  ""Properties"": [""optative""],
  ""Explanation"": ""The text contains an expression of hope ('I hope the story turns out true'), indicating the use of the optative mood.""
}",['optative'],"{
  ""Properties"": [""optative""],
  ""Explanation"": ""The text contains an expression of wish, as the author hopes for a certain outcome.""
}",['optative'],True,"{
  ""Properties"": [""optative""],
  ""Explanation"": ""The use of 'I hope' expresses a wish, making it an optative mood.""
}",['optative'],"{
  ""Properties"": [""optative""],
  ""Explanation"": ""The use of 'I hope' expresses a wish, making it an optative mood.""
}",['optative'],"{
  ""Properties"": [""optative""],
  ""Explanation"": ""The use of 'I hope' expresses a wish, indicating the optative mood.""
}",['optative'],1,['optative']
848,[5],Judge: I don’t understand why the witness is having such trouble with the question.,Mood,['indicative'],['indicative'],['indicative'],True,['indicative'],"{
  ""Properties"": [
    ""interrogative""
  ],
  ""Explanation"": ""The statement contains an interrogative mood as it is asking a question.""
}",['interrogative'],"{
  ""Properties"": [
    ""interrogative""
  ],
  ""Explanation"": ""The sentence contains an interrogative mood, as it is asking a question.""
}",['interrogative'],"{
  ""Properties"": [""interrogative""],
  ""Explanation"": ""The text contains an interrogative mood because it is asking a question.""
}",['interrogative'],True,"{
  ""Properties"": [
    ""interrogative""
  ],
  ""Explanation"": ""The statement contains an interrogative mood as it is asking a question.""
}",['interrogative'],"{
  ""Properties"": [""interrogative""],
  ""Explanation"": ""The sentence contains an interrogative mood as it is asking a question.""
}",['interrogative'],"{
  ""Properties"": [
    ""interrogative""
  ],
  ""Explanation"": ""The sentence contains an interrogative mood as it is asking a question.""
}",['interrogative'],1,['interrogative']
852,[5],"On top of that, we have questions as to whether the body was even that of Stephen Paddock, given the fact that certain elements of the Paddock in the preliminary police report, which mentioned the autopsy, are apparently at odds with the Paddock of other documentation.",Mood,['indicative'],['indicative'],['indicative'],True,['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The statement expresses a simple fact or opinion about the existence of questions regarding the identity of the body, making use of indicative mood.""
}",['indicative'],"{
  ""Properties"": [
    ""indicative""
  ],
  ""Explanation"": ""The text uses the indicative mood to express a simple statement of fact or opinion.""
}",['indicative'],"{
  ""Properties"": [
    ""interrogative"",
    ""indicative""
  ],
  ""Explanation"": ""The text contains an interrogative sentence asking a question ('whether the body was even that of Stephen Paddock'). Additionally, the majority of the text is written in the indicative mood, expressing a simple statement of fact or opinion.""
}","['interrogative', 'indicative']",False,"{
  ""Properties"": [""indicative"", ""interrogative""],
  ""Explanation"": ""The text uses the indicative mood to express a simple statement of fact or opinion, as well as the interrogative mood to ask a question.""
}","['indicative', 'interrogative']","{
  ""Properties"": [""indicative"", ""interrogative""],
  ""Explanation"": ""The text uses the indicative mood to express a simple statement of fact or opinion, and the interrogative mood to ask a question.""
}","['indicative', 'interrogative']","{
  ""Properties"": [""interrogative""],
  ""Explanation"": ""The text contains an interrogative mood as it asks a question about the identity of the body and the consistency of information in the police report.""
}",['interrogative'],0,"['indicative', 'interrogative']"
