sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority,humans isCorrect,gpt isCorrect,comments,ground truth,
320,[ 3 16],There will be no turning back.,Modifying_clauses,[],[],[],TRUE,[],"{
  ""Properties"": [""conditional""],
  ""Explanation"": ""The statement 'There will be no turning back' suggests a conditional clause with the implied condition 'if we take this action'.""
}",['conditional'],"{
  ""Properties"": [],
  ""Explanation"": ""The example does not contain any modifying clauses. It is a standalone sentence without any subordinating, conditional, comparative, adjective, or noun clauses.""
}",[],"{
  ""Properties"": [""conditional""],
  ""Explanation"": ""The use of 'will' and 'be' indicates a conditional clause suggesting a consequence depending on a particular condition, in this case, the absence of turning back.""
}",['conditional'],FALSE,"{
  ""Properties"": [""conditional""],
  ""Explanation"": ""The sentence contains a conditional clause with the use of 'will be' and 'no turning back', indicating a potential condition and its consequence.""
}",['conditional'],"{
  ""Properties"": [""conditional""],
  ""Explanation"": ""The sentence contains a conditional clause with the use of 'will be' and 'no turning back', indicating a potential condition and its consequence.""
}",['conditional'],"{
  ""Properties"": [""conditional""],
  ""Explanation"": ""The sentence contains a conditional clause with the use of 'will be' and 'no turning back' indicating a potential condition and its consequence.""
}",['conditional'],1,['conditional'],1,0,gpt finding things which aren't there,[],
363,[4 9],Murdering infidels thus doesnâ€™t contradict the spirit of Ramadan; it embodies it.,Modifying_clauses,[],[],[],TRUE,[],"{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The sentence contains a comparitive clause using the conjunction 'as' to make a comparison between 'murdering infidels' and the spirit of Ramadan.""
}",['comparitive'],"{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The use of 'as' in the clause 'it embodies it' creates a comparative relationship, suggesting that murdering infidels is equivalent to embodying the spirit of Ramadan.""
}",['comparitive'],"{
  ""Properties"": [""comparative""],
  ""Explanation"": ""The presence of 'it embodies it' indicates a comparative clause using the conjunction 'it.'"" 
}",['comparative'],FALSE,"{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The sentence contains a comparative clause using the conjunction 'it embodies it.'""
}",['comparitive'],"{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The sentence contains a comparative clause using the conjunction 'it embodies it.'""
}",['comparitive'],"{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The sentence contains a comparative clause using the conjunction 'it embodies it.'""
}",['comparitive'],1,['comparitive'],1,0,gpt misinterprets the property,[],
430,[4 9 9 6],This is clearly the testimony of an honest man who has only the good of the Church in his heartâ€”a modern-day Athanasius standing against something so much worse than Liberius.,Modifying_clauses,['adjective'],['adjective'],['adjective'],TRUE,['adjective'],"{
  ""Properties"": [""adjective""]
}",['adjective'],"{
  ""Properties"": [""comparitive"", ""adjective""],
  ""Explanation"": ""The sentence contains a comparative clause ('so much worse than Liberius') and an adjective clause ('who has only the good of the Church in his heart').""
}","['comparitive', 'adjective']","{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The example contains a relative clause ('who has only the good of the Church in his heart') using the relative pronoun 'who', which makes it an adjective clause modifying the noun 'man'.""
}",['adjective'],FALSE,"{
  ""Properties"": [""comparitive"", ""adjective""]
}","['comparitive', 'adjective']","{
  ""Properties"": [""comparitive"", ""adjective""]
}","['comparitive', 'adjective']","{
  ""Properties"": [""comparitive"", ""adjective""]
}","['comparitive', 'adjective']",1,"['comparitive', 'adjective']",0,0,gpt doesn't provide explanation,"['adjective','noun']",
515,[5 8 4],"Wicked men in the sight of God are those who have the knowledge of what to do when it comes to the right, but over and over again, they turn their shoulders and choose the wrong, through tolerance and apathy Americans are bringing upon themselves destruction (Deuteronomy 30:19) that will not be reversed, which leaves no alternative as to why God judges and is judging America today (Deuteronomy 28:63).",Modifying_clauses,['adjective'],['adjective'],['adjective'],TRUE,"['noun', 'subordinate', 'adjective']","{
  ""Properties"": [""subordinate"", ""adjective""]
}

  



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 



 ","['subordinate', 'adjective']","{
  ""Properties"": [""comparitive"", ""adjective""]
}

   ","['comparitive', 'adjective']","{
  ""Properties"": [""subordinate"", ""adjective"", ""noun""],
  ""Explanation"": ""The text contains subordinate clauses with the use of subordinating conjunctions ('through', 'when', 'that'), adjective clauses ('that will not be reversed'), and noun clauses ('what to do when it comes to the right', 'why God judges and is judging America today').""
}","['subordinate', 'adjective', 'noun']",FALSE,"{
  ""Properties"": [""subordinate"", ""adjective""]
}

 	","['subordinate', 'adjective']","{
  ""Properties"": [""subordinate"", ""adjective""]
}

 	","['subordinate', 'adjective']","{
  ""Properties"": [""subordinate"", ""adjective"", ""noun""],
  ""Explanation"": ""The text contains subordinate clauses with causal connections using 'when' and 'because', adjective clauses using 'which', and noun clauses for indirect speech using 'that'.""
}","['subordinate', 'adjective', 'noun']",0,"['subordinate', 'adjective']",0,0,gpt misaligned between property it assigns and explanation it gives.,['subordinate'],adjective: 'those who have the knowledgeÉ'; subordinate: 'which is whyÉ'
659,[5],"â€œUnder these circumstances, we did not have confidence that Strzokâ€™s decision to prioritize the Russia investigation over following up on the Midyear-related investigative lead discovered on the Weiner laptop was free from bias,â€ the report said.",Modifying_clauses,['adjective'],['adjective'],['adjective'],TRUE,"['noun', 'adjective']","{
  ""Properties"": [""comparative""],
  ""Explanation"": ""The sentence contains a comparative clause using the conjunction 'over' to compare two actions: prioritizing the Russia investigation over following up on the investigative lead.""
}",['comparative'],"{
  ""Properties"": [""subordinate""],
  ""Explanation"": ""The presence of the subordinating conjunction 'that' suggests a causal connection, making it a subordinate clause.""
}",['subordinate'],"{
  ""Properties"": [""comparative"", ""subordinate""],
  ""Explanation"": ""The sentence contains a comparative clause 'over following up on the Midyear-related investigative lead discovered on the Weiner laptop' and a subordinate clause 'that Strzokâ€™s decision to prioritize the Russia investigation'.""
}","['comparative', 'subordinate']",FALSE,"{
  ""Properties"": [""subordinate""],
  ""Explanation"": ""The presence of the subordinating conjunction 'that' suggests a causal connection between the two clauses, making it a subordinate clause.""
}",['subordinate'],"{
  ""Properties"": [""subordinate""],
  ""Explanation"": ""The presence of the subordinating conjunction 'that' suggests a causal connection between the two clauses, making it a subordinate clause.""
}",['subordinate'],"{
  ""Properties"": [""subordinate""],
  ""Explanation"": ""The sentence contains a subordinate clause ('that Strzokâ€™s decision to prioritize the Russia investigation over following up on the Midyear-related investigative lead discovered on the Weiner laptop was free from bias') which suggests a causal connection between the circumstances and the lack of confidence.""
}",['subordinate'],1,['subordinate'],0,1,gpt explanation is wrong,"['adjective','subordinate']",the circumstances are the cause of the lack of confidence
848,[5],Judge: I donâ€™t understand why the witness is having such trouble with the question.,Modifying_clauses,['subordinate'],['subordinate'],['subordinate'],TRUE,['subordinate'],"{
  ""Properties"": [""subordinate"", ""adjective""],
  ""Explanation"": ""The sentence contains a subordinate clause 'why the witness is having such trouble with the question', indicating a causal connection. It also includes an adjective clause 'who the witness is having such trouble with the question', providing more information about the witness.""
}","['subordinate', 'adjective']","{
  ""Properties"": [""adjective""]
  ,
  ""Explanation"": ""The sentence contains an adjective clause 'why the witness is having such trouble with the question', which provides additional detail about the witness.""
}",['adjective'],"{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The clause 'the witness is having such trouble with the question' is a relative clause using the relative pronoun 'who' to provide additional information about 'the witness'.""
}",['adjective'],FALSE,"{
  ""Properties"": [""subordinate"", ""noun""],
  ""Explanation"": ""The sentence contains a noun clause ('why the witness is having such trouble with the question') used to paraphrase or incorporate detail.""
}","['subordinate', 'noun']","{
  ""Properties"": [""subordinate"", ""noun""],
  ""Explanation"": ""The sentence contains a subordinate clause with the subordinating conjunction 'why', suggesting a causal connection. It also contains a noun clause used for indirect speech ('the witness is having such trouble with the question').""
}","['subordinate', 'noun']","{
  ""Properties"": [""subordinate"", ""noun""],
  ""Explanation"": ""The sentence contains a subordinate clause ('why the witness is having such trouble with the question') which suggests a causal connection, and a noun clause ('the witness is having such trouble with the question') used for indirect speech.""
}","['subordinate', 'noun']",1,"['subordinate', 'noun']",0,1,gpt explanation is correct,"['subordinate', 'noun']",
866,[6],A West Virginia school has come under fire for instructing junior high students to write the Islamic profession of faith ostensibly to practice calligraphy.,Modifying_clauses,[],[],[],TRUE,[],"{
  ""Properties"": [""conditional""],
  ""Explanation"": ""The conditional property is present in the dependent clause 'for instructing junior high students to write the Islamic profession of faith ostensibly to practice calligraphy', which begins with the subordinating conjunction 'for.'""
}",['conditional'],"{
  ""Properties"": [""conditional""],
  ""Explanation"": ""The presence of the conditional clause 'to write the Islamic profession of faith ostensibly to practice calligraphy' is an example of a modifying clause indicating a conditional relationship.""
}",['conditional'],"{
  ""Properties"": [""subordinate""],
  ""Explanation"": ""The presence of the subordinating conjunction 'for' suggests a causal connection, making this a modifying subordinate clause.""
}",['subordinate'],FALSE,"{
  ""Properties"": [""conditional""],
  ""Explanation"": ""The presence of the conditional clause 'to write the Islamic profession of faith ostensibly to practice calligraphy' indicates a conditional relationship, as it presents a hypothetical condition ('if instructed to write the Islamic profession of faith') and its potential outcome ('to practice calligraphy').""
}",['conditional'],"{
  ""Properties"": [""conditional""],
  ""Explanation"": ""The use of 'to' in 'to write' suggests a conditional clause, indicating that the action of writing the Islamic profession of faith is contingent on the purpose of practicing calligraphy.""
}",['conditional'],"{
  ""Properties"": [""conditional""],
  ""Explanation"": ""The use of 'for' suggests a conditional clause, indicating the purpose or reason for the action of instructing junior high students to write the Islamic profession of faith.""
}",['conditional'],1,['conditional'],1,0,gpt finding things which aren't there,[],
900,[6 9],His warning against making the resistance to jihad a â€œbattle between us and the entire religionâ€ is odd.,Modifying_clauses,[],[],[],TRUE,[],"{
  ""Properties"": [""comparitive"", ""adjective""],
  ""Explanation"": ""The sentence includes a comparative clause using the conjunction 'against' and an adjective clause 'against making the resistance to jihad a battle between us and the entire religion'.""
}","['comparitive', 'adjective']","{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The sentence contains a comparative clause using the word 'against' to compare the warning against making the resistance to jihad to a 'battle between us and the entire religion'.""
}",['comparitive'],"{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The clause 'against making the resistance to jihad a 'battle between us and the entire religion'' uses a comparitive conjunction 'against' to compare the warning to the action of making the resistance to jihad a 'battle between us and the entire religion'.""
}",['comparitive'],FALSE,"{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The sentence contains a comparative clause using the conjunction 'against'.""
}",['comparitive'],"{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The sentence contains a comparative clause using the conjunction 'against'.""
}",['comparitive'],"{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The sentence contains a comparative clause using the conjunction 'against' to compare the warning against making the resistance to jihad to a 'battle between us and the entire religion'.""
}",['comparitive'],1,['comparitive'],1,0,gpt finding things which aren't there,[],
929,[13  6],"Beyond pressuring our allies, consider these specific steps President Trump has taken against Russia: Where President Obama refused to provide serious weapons to the Ukrainians to help them defend themselves (his response was weakness on a pathetic scale), President Trump has approved the sale of offensive weapons to enable the Ukrainians to increase the cost of Russian aggression.",Modifying_clauses,['subordinate'],['subordinate'],['subordinate'],TRUE,"['subordinate', 'adjective']","{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The sentence contains a comparative clause with the conjunction 'where' to compare the actions of President Obama and President Trump.""
}",['comparitive'],"{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The example contains a comparative clause using the conjunction 'where', comparing the actions of President Obama and President Trump in regard to their approach to arming the Ukrainians.""
}",['comparitive'],"{
  ""Properties"": [""comparative""],
  ""Explanation"": ""The text includes a comparative clause using the conjunction 'where' to draw a comparison between President Obama's actions and President Trump's actions.""
}",['comparative'],FALSE,"{
  ""Properties"": [""comparitive"", ""adjective""]
}

 	","['comparitive', 'adjective']","{
  ""Properties"": [""comparitive"", ""adjective""]
}

 	","['comparitive', 'adjective']","{
  ""Properties"": [""comparitive"", ""adjective""]
}

 	","['comparitive', 'adjective']",1,"['comparitive', 'adjective']",0,0,gpt doesn't provide explanation,['comparitive'],
956,[6],Nothing good can be said about his four years of sanctimony and incompetence.,Modifying_clauses,[],[],[],TRUE,[],"{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The sentence contains a comparitive clause using the conjunction 'about' to compare 'his four years' with something else, suggesting a lack of positive attributes.""
}",['comparitive'],"{
  ""Properties"": [""comparitive""],
  ""Explanation"": ""The comparative clause 'more than' is used to compare his four years to something else, suggesting a negative evaluation.""
}",['comparitive'],"{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The sentence contains a relative clause 'of sanctimony and incompetence' using the relative pronoun 'his' to modify 'four years'.""
}",['adjective'],FALSE,"{
  ""Properties"": [""adjective""]
}",['adjective'],"{
  ""Properties"": [""adjective""]
}",['adjective'],"{
  ""Properties"": [""adjective""]
}

  ",['adjective'],1,['adjective'],1,0,gpt finding things which aren't there,[],
989,[17  6],"What about Judge Kavanaugh's comfort in being put through the ringer without a shred of evidence, Senator Flake?",Modifying_clauses,[],[],[],TRUE,[],"{
  ""Properties"": [""conditional""],
  ""Explanation"": ""The presence of the conditional clause 'if' in 'if a shred of evidence' indicates a conditional relationship, suggesting a hypothetical situation that is dependent on certain conditions being met.""
}",['conditional'],"{
  ""Properties"": [""subordinate""],
  ""Explanation"": ""The clause 'without a shred of evidence' suggests a causal connection, indicating the reason for Judge Kavanaugh's comfort in being put through the ringer.""
}",['subordinate'],"{
  ""Properties"": [""comparative""],
  ""Explanation"": ""The clause 'without a shred of evidence' is a comparative clause using the conjunction 'without' to compare the lack of evidence to being put through the ringer.""
}",['comparative'],FALSE,"{
  ""Properties"": [""conditional""],
  ""Explanation"": ""The conditional clause 'if' is used in the question: 'if a shred of evidence'.""
}",['conditional'],"{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The clause 'in being put through the ringer without a shred of evidence' is a relative clause using 'being put through the ringer' to provide additional detail about 'Judge Kavanaugh's comfort'.""
}",['adjective'],"{
  ""Properties"": [""adjective""],
  ""Explanation"": ""The clause 'in being put through the ringer without a shred of evidence' is a relative clause modifying 'comfort'. It provides additional detail about the type of comfort Judge Kavanaugh has.""
}",['adjective'],0,['adjective'],1,0,gpt finding things which aren't there,[],
