,sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consitency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency
11,73,[0],"Meanwhile, according to a Breitbart report by Allum Bokhari, “By inserting negative search suggestions under the name of a candidate, search engines like Google can shift the opinions of undecided voters by up to 43.4 percent, according to new research by a team at the American Institute for Behavioral Research and Technology and reported exclusively by Breitbart News.”",Predication,['active'],"['stative', 'active']",['active'],False,[],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'inserting', 'can shift', and 'reported', indicating the use of active predication.""
}",['active'],"{
  ""Properties"": [
    ""compound""
  ],
  ""Explanation"": ""The sentence contains a compound verb structure: 'can shift' and 'reported'. This aligns with the 'compound' property of Predication.""
}",['compound'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains active verbs such as 'inserting', 'shift', and 'reported'. These verbs show action being performed by the subjects.""
}",['active'],False,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'inserting', 'shift', and 'reported'. These verbs indicate actions being performed by the subjects.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'inserting', 'shift', and 'reported'. These verbs indicate actions being performed by the subjects.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'inserting', 'shift', and 'reported'. These verbs indicate actions being performed by the subjects.""
}",['active'],1
12,80,[1],"Also, as this is an unprecedented moment in papal history, perhaps the unprecedented step of recalling Benedict XVI to the Chair of St. Peter should also be considered sooner rather than later, before this crisis gets any more out-of-control than it already is.",Predication,"['stative', 'active']",['stative'],"['stative', 'active']",False,[],"{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The text contains active verbs 'considered' and 'gets', as well as a compound verb 'should be considered'.""
}","['active', 'compound']","{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The sentence contains the active verb 'considered' and the stative verb 'is'.""
}","['active', 'stative']","{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'is,' 'be,' and 'get.' The verbs are not stative, as they describe ongoing or dynamic actions rather than static states.""
}",['active'],False,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains the active verb 'should be considered' which indicates an action being performed.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'considered' and 'gets', indicating actions being performed by the subject.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'considered' and 'gets', indicating actions being performed by the subject.""
}",['active'],1
14,117,[ 1 12],"And so Chris Bryant, “a senior Labour backbencher, has written to May urging her to go further, and issue an official ban on Donald Trump from entering the UK on the grounds he is condoning fascism and his presence is ‘not conducive to the public good’, a senior Labour MP has said.”",Predication,"['stative', 'compound', 'active']",['active'],"['stative', 'active']",False,[],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'has written,' 'urging,' and 'condoning,' which indicates the use of active predication.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'has written' and 'is condoning', indicating action being performed by the subject.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains the active verb 'has written' and 'issuing' which indicate actions performed by the subject (Chris Bryant and May).""
}",['active'],True,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains active verbs such as 'has written', 'urging', and 'has said', indicating actions performed by the subject.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'has written', 'urging', and 'has said', indicating actions performed by the subject.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'has written', 'urging', and 'has said', indicating actions performed by the subject.""
}",['active'],1
16,127,[1],"I have seen a veritable chorus of Catholics on social media declaring that if Paul VI is canonised, their loss of faith in the Church as an institution will be complete.",Predication,"['stative', 'active']","['stative', 'active']",[],False,[],"{
  ""Properties"": [
    ""active""
  ],
  ""Explanation"": ""The text contains an active verb 'declaring', indicating an action performed by the 'chorus of Catholics' on social media.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'declaring' which indicates an action carried out by the subject 'a veritable chorus of Catholics'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'is', indicating action.""
}",['active'],True,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'declaring' which indicates an action performed by the subject 'a veritable chorus of Catholics'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains an active verb 'declaring' which indicates an action performed by the subject 'a veritable chorus of Catholics'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains an active verb 'declaring', indicating that the subject (Catholics) is performing the action of declaring. This is an example of active predication.""
}",['active'],1
17,143,[9 1 8],"Sagacious gun owners have always known that the ultimate goal of gun control extremists such as Chuck Schumer, Nancy Pelosi, Dianne Feinstein, et al., has always been gun confiscation.",Predication,"['stative', 'active']","['stative', 'active']",['active'],False,[],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The statement contains active verbs such as 'have known' and 'has always been' that indicate the action or state of the subject.""
}",['active'],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The sentence contains active verbs ('have known', 'has been') and a stative verb ('is').""
}","['active', 'stative']","{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains active verbs such as 'have known', 'is', 'has been'. These active verbs indicate actions and hence the presence of active predication.""
}",['active'],False,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains active verbs such as 'have known' and 'has always been'. These active verbs indicate actions performed by the subject, making use of the active property of predication.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains active verbs such as 'have known' and 'has always been'. These active verbs indicate actions performed by the subject.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'have known' and 'has always been'. These active verbs indicate action performed by the subject, which is a characteristic of active voice.""
}",['active'],1
18,159,[1],This is a very real threat – one that is largely immune to attack from the air.,Predication,['stative'],['active'],['stative'],False,[],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'is' indicating a state of being.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains the stative verb 'is' (is largely immune), which indicates a state or condition.""
}",['stative'],"{
  ""Properties"": [
    ""stative""
  ],
  ""Explanation"": ""The sentence contains a stative verb 'is' denoting a state of being.""
}",['stative'],True,"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'is' to describe the state of the threat being largely immune to attack from the air.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'is' to describe the state of the threat being largely immune to attack from the air.""
}",['stative'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'is' in the phrase 'is largely immune'. This indicates a state of being rather than an action.""
}",['stative'],1
19,188,[1],They would be immediate targets should the US and South Korea attack the north.,Predication,"['stative', 'active']","['stative', 'active']",['stative'],False,[],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'attack' with the subject 'the US and South Korea.'""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'attack' indicating action being performed by the subject 'the US and South Korea'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'attack', which denotes action being performed by the subjects 'US and South Korea' towards the 'north'.""
}",['active'],True,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'attack' indicating action performed by the subject 'the US and South Korea'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'attack' which indicates action being performed by the subject 'the US and South Korea'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'attack' which indicates action being performed by the subject 'the US and South Korea'.""
}",['active'],1
20,194,[9 1],"Think of this, the meekest man alive was sent to the face of the Pharaoh to tell him to obey or else.",Predication,['active'],"['stative', 'active']",['active'],False,[],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'was sent', which denotes action performed by the subject 'the meekest man alive'.""
}",['active'],"{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains active verbs (was sent, to tell) and a compound structure with multiple verbs (was sent, to tell).""
}","['active', 'compound']","{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains an active verb 'was sent' and a compound predicate 'was sent' and 'to tell'.""
}","['active', 'compound']",False,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'was sent' which indicates an action performed by the subject 'the meekest man alive.'""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'was sent' which indicates an action performed by the subject 'the meekest man alive.'""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'was sent' which indicates an action performed by the subject 'the meekest man alive'.""
}",['active'],1
21,199,[1],"“When Kavanaugh is on the Supreme Court, undermining our #4thAmendment right against unreasonable searches and seizures, it will be too late for others to join me.”",Predication,"['stative', 'active']",['stative'],['active'],False,[],"{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains active verbs ('is', 'undermining') and a compound structure with multiple verbs ('is', 'will be') about one subject.""
}","['active', 'compound']","{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'undermining' which denotes the action of Kavanaugh undermining the #4thAmendment right.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains an active verb 'undermining', which signifies action being performed by the subject 'Kavanaugh' on the object 'our #4thAmendment right'.""
}",['active'],False,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'undermining' which indicates an action performed by the subject 'Kavanaugh'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The text contains active verbs such as 'is', 'undermining', and 'will be'. These active verbs indicate actions being performed by the subject.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'undermining' which indicates an action being performed by the subject 'Kavanaugh'.""
}",['active'],1
22,202,[1],"A gird failure would almost immediately fling the United States into a state of panic, and it’s always good to be prepared just in case.",Predication,['stative'],"['stative', 'active']","['stative', 'active']",False,[],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains active verbs: 'failure', 'fling', 'be', 'prepared'""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'fling' describing the action of a potential grid failure. There are no stative or compound verbs present in the text.""
}",['active'],"{
  ""Properties"": [""active"", ""stative""],
  ""Explanation"": ""The sentence contains both an active verb 'fling' and a stative verb 'be prepared,' indicating action and a state of being.""
}","['active', 'stative']",False,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'fling' which indicates the action of the subject 'a grid failure'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'fling' which indicates an action being performed by the subject 'a grid failure'.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'fling' which indicates an action being performed by the subject 'a grid failure'.""
}",['active'],1
23,204,[1],"It has become a superdogma in the Catholic Church: if you don’t believe that Islam is a Religion of Peace, you will be ruthlessly harassed and silenced by the U.S. Conference of Catholic Bishops and the hierarchy elsewhere as well.",Predication,"['stative', 'compound', 'active']","['stative', 'active']","['stative', 'active']",False,[],"{
  ""Properties"": [""passive""],
  ""Explanation"": ""The sentence contains a passive construction with the passive verb 'will be ruthlessly harassed and silenced.'""
}",['passive'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'become' which expresses a state rather than an action.""
}",['stative'],"{
  ""Properties"": [
    ""active""
  ],
  ""Explanation"": ""The sentence contains active verbs such as 'believe', 'harassed', and 'silenced', which express actions performed by the subject.""
}",['active'],False,"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains active verbs 'has become', 'believe', 'will be harassed', and 'silenced'. These verbs indicate actions performed by the subjects.""
}",['active'],"{
  ""Properties"": [""stative""],
  ""Explanation"": ""The sentence contains a stative verb 'become' which expresses a state rather than an action.""
}",['stative'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains active verbs such as 'has become' and 'will be harassed and silenced' which indicate actions being performed by the subjects.""
}",['active'],0
24,214,[1],"""One woman (was) screaming through my door that I should be killed and I should die,"" he told reporters at Friday's news conference.",Predication,"['stative', 'active']","['stative', 'compound', 'active']","['stative', 'active']",False,[],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains active verbs 'screaming' and 'told', indicating that the subject is performing the action.""
}",['active'],"{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains active verbs 'screaming' and 'told' as well as a compound verb structure 'should be killed and I should die'.""
}","['active', 'compound']","{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'told' in the past tense.""
}",['active'],False,"{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains an active verb 'screaming' and a compound structure with 'was screaming' and 'should be killed and I should die.'""
}","['active', 'compound']","{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'screaming' which shows the woman's action.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains an active verb 'told' which is used to convey the action of the subject 'he' speaking to reporters.""
}",['active'],0
25,219,[1],"While Iran told the U.N. nuclear watchdog agency on Tuesday that it plans only to increase enrichment within limits set by 2015 deal, the announcement came with threats from a top Iranian official that the activities could be quickly expanded.",Predication,"['stative', 'active']",['active'],['active'],False,['compound'],"{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains active verbs ('told', 'plans', 'set', 'came', 'could be expanded') and also includes compound verbs ('could be').""
}","['active', 'compound']","{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains active verbs such as 'told', 'plans', 'increase' and 'came', as well as compound verbs 'told...that it plans' and 'plans...to increase'.""
}","['active', 'compound']","{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains active verbs 'told', 'plans', 'increased', 'set', 'came', and 'could be expanded', demonstrating the use of active voice. Additionally, there is a compound verb structure with 'could be expanded'.""
}","['active', 'compound']",True,"{
  ""Properties"": [""active"", ""compound""],
  ""Explanation"": ""The sentence contains active verbs ('told', 'plans', 'increase') and also has a compound structure with multiple verbs ('told', 'came').""
}","['active', 'compound']","{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains active verbs such as 'told', 'plans', 'increase', 'set', 'came', and 'could be expanded'. These active verbs indicate actions performed by the subjects in the sentence.""
}",['active'],"{
  ""Properties"": [""active""],
  ""Explanation"": ""The sentence contains active verbs such as 'told', 'plans', 'set', and 'came'. These verbs indicate actions performed by the subject, demonstrating the use of active predication.""
}",['active'],0
