sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,props_gpt
263,[3],"While Obama pardoned drug dealers and locked up ranchers, Trump pardons ranchers and locks up drug dealers.",Aspect,['simple'],['simple'],['simple'],
265,[3],"No Catholic, whether or not he consults a priest, can declare for himself that his marriage in the Church was invalid, especially when—indeed because—he lacks canonical proof of invalidity.",Aspect,['simple'],['simple'],['simple'],['simple']
271,[3],"That is to say, one could not consecrate a brothel, one could not bless a concentration camp or weapons which are not explicitly ordained for hunting or for legitimate self-defense.",Aspect,['simple'],['simple'],['simple'],['simple']
275,[3],"You believe any woman who goes against a Republican and you don't believe any woman who goes against a Democrat.""",Aspect,['simple'],['simple'],['simple'],['simple']
282,[3 9],"And if Trumpism is not the future of the GOP, it is hard to see what a promising GOP agenda might look like.",Aspect,['simple'],['simple'],['simple'],['simple']
296,[3],"There is only one Magisterium, he said, and bishops' conferences can only decide about pastoral questions.",Aspect,['simple'],['simple'],['simple'],['simple']
300,[3],"You do not like to beat around the bush, and neither do we, so allow us to say frankly that we do not understand your teaching about Islam, as we read in paragraphs 252 and 253 of Evangelii Gaudium, because it does not account for the fact that Islam came AFTER Christ, and so is, and can only be, an Antichrist (see 1 Jn 2.22), and one of the most dangerous because it presents itself as the fulfillment of Revelation (of which Jesus would have been only a prophet).",Aspect,['simple'],"['simple', 'perfect']",['simple'],['simple']
307,[3],"Either you stand with BDS, Hamas, blood libels and those who want to destroy Israel or with Jews.",Aspect,['simple'],['simple'],['simple'],['simple']
311,[3],"The Vatican presents a choice: the world, or Christ.",Aspect,['simple'],['simple'],['simple'],['simple']
313,[3],"“The Prologue set this choice before us, the world or Our Lord, as mutually exclusive alternatives; we cannot remain neutral, but must belong wholly to the one or wholly to the other.”",Aspect,['simple'],,['simple'],['simple']
319,[3],It’s not coming back.,Aspect,['progressive'],['progressive'],['simple'],['simple']
320,[ 3 16],There will be no turning back.,Aspect,['simple'],['simple'],['simple'],['simple']
325,[3],A caller to the Michael Savage radio show who says he was neighbors with Las Vegas gunman Stephen Paddock asserts that Paddock could not have carried out the massacre and that it was actually a “set-up”.,Aspect,['simple'],"['simple', 'perfect']",['simple'],['simple']
349,[4],"Recently, a video clip of anti-Semitic pastor Steve Anderson – making the claim that Jews have experienced such abuse because they have somehow been cursed – wound up on the personal Facebook page of South Florida Muslim leader Sofian Zakkout.",Aspect,['perfect'],"['progressive', 'simple', 'perfect']",['simple'],['simple']
363,[4 9],Murdering infidels thus doesn’t contradict the spirit of Ramadan; it embodies it.,Aspect,['simple'],['simple'],['simple'],['simple']
365,[6 4],"""What you want to do is destroy this guy's life, hold this seat open, and hope you win in 2020,"" Graham blasted Democrat Senators on the committee.",Aspect,['simple'],['simple'],['simple'],['simple']
369,[4 3],"To bless always means that something shall flourish, because only then when there is a blessing upon a cause or a project, will something good come out of it.",Aspect,['simple'],['simple'],['simple'],['simple']
370,[4],"If one considers and weighs this matter, one knows: one may not bless a union of two homosexual men or of lesbian women.",Aspect,['simple'],['simple'],['simple'],['simple']
375,[4],"Despite the fact that it was instituted by God Himself, growing numbers of Catholics actually consider it immoral.",Aspect,['simple'],['simple'],['simple'],['simple']
387,[4],"On the one hand, it could refuse to grant Trump what he wanted and let the records be released, which it knew would point to the CIA’s guilt in the assassination.",Aspect,['simple'],['simple'],['simple'],['simple']
392,[ 9 13  4],"“Their only defense was that the activities they described were either non-partisan or were not officially taken by the company,” Carlson said Monday night, describing Google’s official response to his requests for comment, before challenging the company’s response: “But of course they were both.",Aspect,['simple'],"['progressive', 'simple']",['simple'],['simple']
396,[4],Democrats want to delay this vote until after the midterms because they believe they have a chance to retake the Senate as well as the House.,Aspect,['simple'],['simple'],['simple'],['simple']
405,[5 4 8 8 9],"So, according to Faggioli, the same Pope who sacks conservative bishops and cardinals according to his pleasure and has just removed a cardinal from the College of Cardinals in an unprecedented disciplinary act under fire from the media, is somehow powerless to dismiss Modernist bishops who have created an obscene “gay culture” in the Church and replace them with orthodox, normal heterosexual males.",Aspect,"['simple', 'perfect']","['simple', 'perfect']",['perfect'],['simple']
407,[4 8],Faggioli has no answer because what he is really arguing—the final beachhead of the neo-Catholic defense of their disintegrating regime—is that homosexuals in the hierarchy must remain in authority as an indispensable seawall against a “neo-traditionalist” storm surge.,Aspect,['simple'],"['progressive', 'simple']",['simple'],['simple']
417,[4],That’s why they had shots fired from the front and placed Oswald in the rear.,Aspect,['perfect'],"['simple', 'perfect']",['perfect'],['simple']
430,[4 9 9 6],This is clearly the testimony of an honest man who has only the good of the Church in his heart—a modern-day Athanasius standing against something so much worse than Liberius.,Aspect,['simple'],"['progressive', 'simple']",['simple'],['simple']
446,[4],"To eradicate these, Muslims are required to wage war until there exists none of it in the world, and the only religion is that of Allah.",Aspect,['simple'],['simple'],['simple'],['simple']
474,[4 9],This leftwing witch hunt has been ongoing since day one of Trump’s presidency in order to impair and impede his ability to get the job done.,Aspect,['perfect_progressive'],"['simple', 'perfect_progressive']","['progressive', 'perfect']",['progressive']
476,[4],The former recognizes that an armed populace is a threat to any tyrant and pushes for gun control out of self-preservation.,Aspect,['simple'],['simple'],['simple'],['simple']
514,[5 7],"Instead of preaching out against sin, they advocate for that which God clearly condemns, thereby making war against God (Micah 3:5), which at length destroys our government, our country and our families.",Aspect,['simple'],"['progressive', 'simple']",['simple'],['simple']
515,[5 8 4],"Wicked men in the sight of God are those who have the knowledge of what to do when it comes to the right, but over and over again, they turn their shoulders and choose the wrong, through tolerance and apathy Americans are bringing upon themselves destruction (Deuteronomy 30:19) that will not be reversed, which leaves no alternative as to why God judges and is judging America today (Deuteronomy 28:63).",Aspect,"['progressive', 'simple']","['progressive', 'simple']",['simple'],['simple']
532,[5 8],"While we may never know what actually happened during the Las Vegas Massacre, the fact remains that the official story has been proven, time and time again, to be absolutely false and in fact nothing more than a pathetic attempt at a cover-up.",Aspect,"['simple', 'perfect']","['simple', 'perfect']",['simple'],['simple']
576,[5 9],So seriously that J Street can't decide what to do about a politician who defends a Hitler-lover and raises the Jewish Question.,Aspect,['simple'],['simple'],['simple'],['simple']
595,[9 5],The four page email begins with Murillo claiming she and others at Google were engaged in non-partisan activities not designed to help any one candidate or another—only to undercut her own commentary in later passages in the emails by openly admitting the entire effort to boost Latino turnout using Google products with official company resources was to elect Clinton over Trump.,Aspect,['simple'],['simple'],['simple'],['simple']
650,[5 8],She offered no evidence — nor was asked for any — to back her grave allegations.,Aspect,['simple'],['simple'],['simple'],['simple']
659,[5],"“Under these circumstances, we did not have confidence that Strzok’s decision to prioritize the Russia investigation over following up on the Midyear-related investigative lead discovered on the Weiner laptop was free from bias,” the report said.",Aspect,['simple'],['simple'],['simple'],['simple']
747,[9 5],"And finally, in a bizarre tweet, Greenwald opined, “I hope the story [maligning Assange] turns out true” – apparently because maintenance of the Guardian’s reputation is more important than Assange’s fate and the right of journalists to dig up embarrassing secrets without fear of being imprisoned.",Aspect,['simple'],['simple'],['simple'],['simple']
748,[5 9],"Rather than being the reason for the Guardian violating basic journalistic standards and ethics, the paper’s hatred of Assange is a symptom of a deeper malaise in the Guardian and the wider corporate media.",Aspect,['simple'],['simple'],['simple'],['simple']
751,[5 9],"The Guardian has painted social media chiefly as a platform overrun by Russian trolls, arguing that this should justify ever-tighter restrictions that have so far curbed critical voices of the dissident left more than the right.",Aspect,"['simple', 'perfect']","['progressive', 'simple', 'perfect']",['perfect'],"['present', 'past']"
804,[5],"Las Vegas police said Friday that the gunman who opened fire on a country music festival far below his hotel suite did not shoot a security guard six minutes before that rampage, contradicting a timeline they had offered earlier this week….",Aspect,['simple'],"['simple', 'perfect']",['simple'],['simple']
812,[5],This Guardian Fake News Story Proves That The Media Can't Be Trusted,Aspect,['simple'],['simple'],['simple'],['simple']
848,[5],Judge: I don’t understand why the witness is having such trouble with the question.,Aspect,"['progressive', 'simple']","['progressive', 'simple']",['simple'],['progressive']
852,[5],"On top of that, we have questions as to whether the body was even that of Stephen Paddock, given the fact that certain elements of the Paddock in the preliminary police report, which mentioned the autopsy, are apparently at odds with the Paddock of other documentation.",Aspect,['simple'],['simple'],['simple'],['simple']
863,[5],Capitol Police didn’t make arrests despite numerous red flags and then ‘inadvertently’ gave evidence to defense attorneys that was supposed to go to prosecutors,Aspect,['simple'],['simple'],['simple'],['simple']
866,[6],A West Virginia school has come under fire for instructing junior high students to write the Islamic profession of faith ostensibly to practice calligraphy.,Aspect,['perfect'],['perfect'],['perfect'],['simple']
900,[6 9],His warning against making the resistance to jihad a “battle between us and the entire religion” is odd.,Aspect,['simple'],['simple'],['simple'],['simple']
929,[13  6],"Beyond pressuring our allies, consider these specific steps President Trump has taken against Russia: Where President Obama refused to provide serious weapons to the Ukrainians to help them defend themselves (his response was weakness on a pathetic scale), President Trump has approved the sale of offensive weapons to enable the Ukrainians to increase the cost of Russian aggression.",Aspect,"['simple', 'perfect']","['simple', 'perfect']","['simple', 'perfect']",['simple']
953,[6],"And it gets even worse: “The investigation, published Wednesday by the House Permanent Subcommittee on Investigations, further discloses secret efforts by top Obama administration officials to assure European countries they would receive a pass from U.S. sanctions if they engaged in business with Iran.”",Aspect,['simple'],['simple'],['simple'],['simple']
956,[6],Nothing good can be said about his four years of sanctimony and incompetence.,Aspect,['simple'],['simple'],['simple'],['simple']
963,[6],"An Arizona man who sold ammunition to the gunman in the deadliest mass shooting in modern U.S. history was disturbed that he didn't spot any suspicious signs about his one-time customer, the man's lawyer said Wednesday.",Aspect,['simple'],['simple'],['simple'],['simple']
989,[17  6],"What about Judge Kavanaugh's comfort in being put through the ringer without a shred of evidence, Senator Flake?",Aspect,['progressive'],['progressive'],['simple'],['simple']
994,[8 6],"“I’ve never understood how chaos, anarchy and illegal border crossings are viewed as something good in a country like Germany, which we view as the best example of discipline and the rule of law,” he said.",Aspect,"['simple', 'perfect']","['simple', 'perfect']","['simple', 'perfect']",['perfect']
1040,[5 6 8],"The telling details of Archbishop Viganò’s testimony concerning Bergoglio’s friendly relations with McCarrick before he finally had to cut him loose—details conveniently ignored by Winters, Allen and Shea—are utterly devastating to any defense of Bergoglio.",Aspect,['simple'],['simple'],['simple'],['simple']
1042,[6],Any purge would empty parishes and religious orders of the thousands of priests and bishops who lead healthy lives of service and faithful lives of celibacy.”,Aspect,['simple'],['simple'],['simple'],['simple']
1060,[5 6],That’s because he failed to conclude his article with one great big important point about former CIA Director Richard Helms.,Aspect,['simple'],['simple'],['simple'],['simple']
1100,[6],"In December it successfully carried out the most-distant course-correction manoeuvre ever, with the mission team guiding it towards a close-encounter with a KBO scheduled for 1 January 2019.",Aspect,['simple'],"['progressive', 'simple']",['simple'],['simple']
1105,[4 9 9 6],This is clearly the testimony of an honest man who has only the good of the Church in his heart—a modern-day Athanasius standing against something so much worse than Liberius.,Aspect,['simple'],"['progressive', 'simple']",['simple'],[]
1145,[9 8 6],To call them nativists and parade their moral superiority.,Aspect,['simple'],['simple'],,['simple']
1194,[6 9],"Julian Assange called it ""a hack job in the purest sense of the term"".",Aspect,['simple'],['simple'],['simple'],['simple']
1203,[8 6 8 8],Rich Penkoski is hardly the first to protest this egregious submission to the most vicious and brutal ideology on the face of the Earth.,Aspect,['simple'],['simple'],['simple'],['simple']
1225,[6],Democratic Illinois Rep. Danny Davis defended Nation of Islam leader Louis Farrakhan as an “outstanding human being” on Monday.,Aspect,['simple'],['simple'],['simple'],['simple']
1234,[7],"He was treated very unfairly by our government!""",Aspect,['simple'],['simple'],['simple'],['simple']
1259,[7],Does Berg and the AMA support our military?,Aspect,['simple'],['simple'],['simple'],[]
1284,[7 8],"I hope the American people can see through this sham, that you knew about it and you held it.""",Aspect,['simple'],['simple'],['simple'],['simple']
1290,[7 8],"But if you are a freedom-loving American who values your liberties and the God-given right to defend them, happy is NOT what you should be feeling right now.",Aspect,"['progressive', 'simple']","['progressive', 'simple']",['simple'],['simple']
1300,[1 7 9],"“This is a terrible situation and Attorney General Jeff Sessions should stop this Rigged Witch Hunt right now, before it continues to stain our country any further.",Aspect,['simple'],['simple'],['simple'],['simple']
1309,[7],What is happening in the Brett Kavanaugh nomination process should concern every American.,Aspect,"['progressive', 'simple']","['progressive', 'simple']",['simple'],['simple']
1311,[ 8  7 14  6],"As Trump grandly proclaimed, Americans no longer have to fear North Korea and can sleep peacefully at night!",Aspect,['simple'],['simple'],['simple'],['simple']
1332,[7 8],These pardons cleanse another stain from our nation's history in the dark years of Obama.,Aspect,['simple'],['simple'],['simple'],['simple']
1344,[7 7],“It’s time for our leaders in Washington to follow the lead of America’s mayors and put public safety over NRA priorities.”,Aspect,['simple'],['simple'],['simple'],['simple']
1350,[7],"As far as the labor market is concerned, “America First” has not translated to Americans First.",Aspect,"['simple', 'perfect']","['simple', 'perfect']","['simple', 'perfect']",['simple']
1354,[7],"“I have, on numerous occasions, noted our intelligence findings that Russians attempted to interfere in our elections.",Aspect,"['simple', 'perfect']","['simple', 'perfect']",['simple'],['perfect']
1355,[6 8 7],The very intensity and nastiness of former CIA Director Brennan and former Director of National Intelligence Clapper is an attempt to distract attention from their failure to protect America.,Aspect,['simple'],['simple'],['simple'],['simple']
1369,[7],"We imported goods ""Made in China,"" while exporting our future.",Aspect,['simple'],"['progressive', 'simple']",['simple'],['simple']
1371,[7],"Bush-Obama ""open borders"" brought in tens of millions of Third World peoples, legally and illegally, to rising resistance from Americans forced to bear the economic and social costs.",Aspect,['simple'],['simple'],['simple'],['simple']
1390,[7 9],"Barack Obama spent considerable time selling the American people on the idea of a cooperative Iran — all the while cutting quiet deals, behind closed doors, with the rogue nation.",Aspect,['simple'],"['progressive', 'simple']",['simple'],['simple']
1405,[ 7 13],"I want to bring our soldiers back home,"" Trump said.",Aspect,['simple'],['simple'],['simple'],['simple']
1407,[7],And it’s a problem not just in West Virginia – it’s a national problem.,Aspect,['simple'],['simple'],['simple'],['simple']
1487,[8],"My acceptance from the reading of this document of the Church’s orthodox eucharistic doctrine was based in part on Pope Paul’s gracious and beautiful exposition, and in part on the sheer radical, mad unlikeliness of it.",Aspect,['simple'],['simple'],['simple'],['simple']
1535,[8 8 5],This stunning tower audio once again provides proof that the entire narrative that claims that Stephen Paddock operated alone from the 32nd floor of the Mandalay Bay Hotel is complete nonsense and that authorities are actually actively covering up what really happened on that fateful night.,Aspect,"['progressive', 'simple']","['progressive', 'simple']",['simple'],['simple']
1589,[8 6],"In the tragic comedy of denial that every Islamic terrorism investigation inevitably becomes, the authorities are still hunting around for his motiv Yonathan Halimi, Sarah Lucy’s son, describes the killer’s family as being known for its anti-Semitism.",Aspect,"['progressive', 'simple']","['progressive', 'simple']","['progressive', 'simple']",['simple']
1699,[8],"He said the group was a toothless, paper-shuffling exercise.",Aspect,['simple'],['simple'],['simple'],['simple']
2116,[8],The case of the Netherlands is downright bizarre; sisters so old that even the federation structures are breaking down.,Aspect,"['progressive', 'simple']","['progressive', 'simple']",['simple'],['simple']
2128,[8],"A litany of lives of total moral, physical, emotional devastation suffered by victims of homosexual clerics.",Aspect,,['simple'],['simple'],['simple']
2198,[16  6  8],"That’s all,” when he stated in his sworn account that Nuncio Pietro Sambi conveyed to McCarrick at the Nunciature in Washington the sanctions that had been imposed on him by Pope Benedict—sanctions Bergoglio ignored for five years until forced to act by a worldwide storm of outrage.",Aspect,"['simple', 'perfect']","['simple', 'perfect']",['simple'],['simple']
2241,[8],"Because in those texts—above all Gaudium et Spes, Dignitatis Humanae, Unitatis Redintegratio, Nostra Aetate and Sacrosanctum Concilium—the Council verbally prostrated itself before “the modern world” and the practitioners of other religions while authorizing Bugnini (Secretary of the liturgical Preparatory Commission that drafted what would become Sacrosanctum Concilium) to begin demolition of the sacred liturgy that was the very foundation Catholic of orthodoxy and orthopraxis.",Aspect,['simple'],"['progressive', 'simple']",['simple'],['simple']
2456,[8],NASA has released a record-breaking photograph taken by the New Horizons spacecraft when it was 3.79 billion miles away from the Earth.,Aspect,"['simple', 'perfect']","['simple', 'perfect']",['perfect'],['perfect']
2472,[8],"Ricki Seidman, a Democratic operative and former Clinton White House official who is now an advisor to Mrs. Ford, said in July (at roughly the same time as the letter was submitted) that she predicted a ""strategy"" forming to destroy Brett Kavanaugh.",Aspect,['simple'],"['progressive', 'simple']",['simple'],['simple']
2508,[8],"“It was a foolish mistake by a very young man,” Saucier’s lawyer, Greg Rinckey, said.",Aspect,['simple'],['simple'],['simple'],['simple']
2584,[0 8],"In remarks after his address, reported by the German Catholic newspaper Die Tagespost, the cardinal made it clear what he thinks about the recently presented German idea of blessing homosexual unions, even if only in individual cases: “If a priest blesses a homosexual couple, then this is an atrocity at a holy site, namely, to approve of something that God does not approve of.”",Aspect,['simple'],['simple'],['simple'],"['progressive', 'simple']"
2629,[ 8 13],ADVANTAGE AMERICANS,Aspect,,,,
2670,[5 9 8 8],"“They [Guardian editors] knew that publishing this story would cause partisan warriors to excitedly spread the story, and that cable news outlets would hyperventilate over it, and that they’d reap the rewards regardless of whether the story turned out to be true or false.”",Aspect,['simple'],['simple'],['simple'],['progressive']
2871,[8],"While it earlier made attempts to balance its shoddier side with some interesting reporting, it is now solidly main stream in the worst sense.",Aspect,['simple'],['simple'],['simple'],"['progressive', 'simple']"
2897,[8 6 8 8],Rich Penkoski is hardly the first to protest this egregious submission to the most vicious and brutal ideology on the face of the Earth.,Aspect,['simple'],['simple'],['simple'],['simple']
2900,[13  8 13],Another student told my daughter that she and the first student and her adult friends are going to kill me and carve a satanic star in my chest and rip out my organs.,Aspect,"['progressive', 'simple']","['progressive', 'simple']",['simple'],['simple']
3060,[9 9],"And Abraham drew near, and said, Wilt thou also destroy the righteous with the wicked?",Aspect,['simple'],['simple'],['simple'],['simple']
3062,[ 9  9 13  9  9],"That be far from thee to do after this manner, to slay the righteous with the wicked: and that the righteous should be as the wicked, that be far from thee: Shall not the Judge of all the earth do right?",Aspect,['simple'],,['simple'],[]
3090,[9 9 8],This provocation was the first of two major spring military exercises planned by the US and its reluctant South Korean satrap.,Aspect,['simple'],['simple'],['simple'],['simple']
3123,[9],"With the “arch-conservative” “Rottweiler” Ratzinger in CDF, why do we have the situation we have today?",Aspect,['simple'],['simple'],['simple'],['simple']
3130,[9],"It beggars belief of ordinary people that, after so many years of hearing and reading them, Ratzinger would remain on such friendly terms with men like Walter Kasper and Carlo Maria Martini, the alleged brains of the Sankt Gallen Mafia.",Aspect,['simple'],['simple'],['simple'],['simple']
3249,[9],When Cain complains that being a “vagabond .,Aspect,['simple'],['simple'],['simple'],[]
3296,[9],"At that point, after the Ralston tweet, Murillo openly admits the partisan motives of Google’s electioneering efforts.",Aspect,['simple'],['simple'],['simple'],['simple']
3315,[8 8 9],"​Despite suffering several public and humiliating reversals in various forums and venues, those pushing for boycotts, divestment and sanctions (BDS) against Israel have not dispensed with their pernicious campaign of hate.",Aspect,['perfect'],['perfect'],['perfect'],['simple']
3326,[5 9],"And Ms. Ford may be overestimating the integrity of the ""supportive"" lawmakers and lawyers currently handling her.",Aspect,['progressive'],['progressive'],['simple'],['simple']
3374,[4 9],"For Faggioli, not only would Bergoglio’s resignation be unthinkable, so also would a purge of the homosexual and pro-homosexual prelates Bergoglio and his Vatican henchmen have systematically enabled.",Aspect,"['simple', 'perfect']","['simple', 'perfect']",['simple'],['simple']
3387,[ 8  9 13  8  9],"This will be a final victory over the enemies within and their apologists, such as Faggioli, who, in typical neo-Catholic style, imperiously scoffs at the notion of “a young clergy marked by personal sanctity but also by a fascination for a mythical Middle Ages” and busies himself defending an unsalvageable mass of corruption he dares to describe as “a Church-world relationship based on a principle of reality.”",Aspect,['simple'],['simple'],['simple'],['simple']
3397,[9],"After Oswald supposedly tried to “defect” to the Soviet Union and promised to give the Russians all the secrets he learned about in the military, why would U.S. officials agree to let him back in the country, and with a communist wife?",Aspect,['simple'],['simple'],['simple'],['simple']
3407,[9],"Among the earliest indications Catholics had that the new pope had no intention of getting to the bottom of the priest-abuser problem was his appointment of the notorious homosexual, Monsignor Battista Ricca, as head of the Vatican Bank and the man in charge of his own residence, the Casa Santa Martha.",Aspect,['simple'],['simple'],['simple'],['simple']
3428,[9],One leaked official memo says: “Assange is going to make a nice bride in prison.,Aspect,"['progressive', 'simple']","['progressive', 'simple']",['simple'],['simple']
3430,[9],"In Alexandra, Virginia – the suburban home of America’s war-making elite — a secret grand jury, a throwback to the middle ages — has spent seven years trying to concoct a crime for which Assange can be prosecuted.",Aspect,['perfect'],"['simple', 'perfect_progressive']",['simple'],['progressive']
3436,[9],"Orban has seen the influence of George Soros and his organizations in Hungary and has openly criticized it and Soros, calling Soros a ""public enemy.""",Aspect,['perfect'],"['progressive', 'perfect']",['simple'],['perfect']
3498,[9],"In the end, Only the corrupt king acknowledges the God of Shadrach, Meshach, and Abednego.",Aspect,['simple'],['simple'],['simple'],['simple']
3611,[9],"Certainly not Corbyn or Assange, who threaten to disrupt the entrenched neoliberal order that is hurtling us towards climate breakdown and economic collapse.",Aspect,"['progressive', 'simple']","['progressive', 'simple']",['simple'],['simple']
3784,[10],Allahu Akbar usually means motive unknown.,Aspect,['simple'],['simple'],['simple'],['simple']
3785,[10],“When something is coming up and down or at least from a different angle they are either going to hit the ground or… alot of different things are going to happen.,Aspect,['progressive'],['progressive'],['progressive'],['progressive']
3787,[10],“The insistence with which Francis defends Barros is mystifying.,Aspect,['simple'],['simple'],['simple'],['simple']
